"","again","party1","party2"
"115","Pejøimovskı Josef","KÈ","""KÈ"""
"116","Koèarová Vìra","KÈ","""KÈ"""
"117","Pavlica Tomáš","KÈ","KONS"
"118","Hibsch David","KÈ","KONS"
"119","Laudát František","ODS","TOP 09"
"120","Dub Tomáš","ODS","ODS"
"121","Bratskı Petr","ODS","ODS"
"122","Benda Marek","ODS","ODS"
"123","Šastnı Boris","ODS","ODS"
"124","Novotnı Zbynìk","ODS","ODS"
"125","Rovan Daniel","ODS","ODS"
"126","Mallotová Helena","ODS","ODS"
"127","Slámová Klára","ODS","Suveren."
"128","Svátek Jan","ODS","ODS"
"129","Samková Alena","ODS","ODS"
"130","Blaek František","ODS","ODS"
"131","Kádner Tomáš","ODS","ODS"
"132","Èerná Jana","ODS","ODS"
"133","Vidím Jan","ODS","ODS"
"134","Tluchoø Petr","ODS","ODS"
"135","Rádl Aleš","ODS","ODS"
"136","Bohatec Pavel","ODS","ODS"
"137","Jeník Miroslav","ODS","ODS"
"138","Fuksa Ivan","ODS","ODS"
"139","Nekolnı Jakub","ODS","ODS"
"140","Vanìk Tomáš","ODS","ODS"
"141","Pajkrtová Cecilie","ODS","ODS"
"142","Štìpánek Daniel","ODS","ODS"
"143","Egidová Karla","ODS","ODS"
"144","Pekárek Roman","ODS","ODS"
"145","Špika Jan","ODS","ODS"
"146","Doktor Michal","ODS","ODS"
"147","Bauer Jan","ODS","ODS"
"148","Dìdiè František","ODS","ODS"
"149","Pøívozník Ladislav","ODS","ODS"
"150","Bláha Jindøich","ODS","ODS"
"151","Pospíšil Jiøí","ODS","ODS"
"152","Pape Jiøí","ODS","ODS"
"153","Vilímec Vladislav","ODS","ODS"
"154","Dlouhı Vladimír","ODS","ODS"
"155","Hošek Petr","ODS","ODS"
"156","Mráz Jaroslav","ODS","ODS"
"157","Poduška Jan","ODS","ODS"
"158","Šnebergr Michal","ODS","ODS"
"159","Patera Miloš","ODS","ODS"
"160","Suk Lubomír","ODS","ODS"
"161","Bureš Jan","ODS","ODS"
"162","Orálek Luboš","ODS","ODS"
"163","Vodièková Olga","ODS","ODS"
"164","Gandaloviè Petr","ODS","ODS"
"165","Šoltys Vladimír","ODS","ODS"
"166","Záhorskı Vladimír","ODS","ODS"
"167","Kraus Tomáš","ODS","ODS"
"168","Hasil Tomáš","ODS","ODS"
"169","Mach Zdenìk","ODS","ODS"
"170","Krenickı Zdenìk","ODS","ODS"
"171","Dohnalová Jana","ODS","ODS"
"172","Horníková Zdeòka","ODS","ODS"
"173","Kafka David","ODS","ODS"
"174","Lhota Zdenìk","ODS","ODS"
"175","Kochan Jozef","ODS","ODS"
"176","Procházka Miroslav","ODS","ODS"
"177","Meèíø Martin","ODS","ODS"
"178","Libı Ladislav","ODS","ODS"
"179","Èepelka Jiøí","ODS","ODS"
"180","Petruška Daniel","ODS","ODS"
"181","Hruška Vlastimil","ODS","ODS"
"182","Štìpánek Vítìzslav","ODS","ODS"
"183","Klodner Jaroslav","ODS","ODS"
"184","Nìmcová Miroslava","ODS","ODS"
"185","Hink Vladimír","ODS","ODS"
"186","Šmíd Milan","ODS","ODS"
"187","Kafoòková Simona","ODS","ODS"
"188","aloudek Stanislav","ODS","ODS"
"189","Mencl Václav","ODS","ODS"
"190","Bartoš Walter","ODS","ODS"
"191","Šeich David","ODS","ODS"
"192","Suchánek Pavel","ODS","ODS"
"193","Sivera František","ODS","ODS"
"194","Hrbata Michael","ODS","ODS"
"195","Filipi Dana","ODS","ODS"
"196","Beránek Martin","ODS","ODS"
"197","Adámek Petr","ODS","ODS"
"198","Ryba Vladimír","ODS","ODS"
"199","Langer Ivan","ODS","ODS"
"200","Krill Petr","ODS","ODS"
"201","Fiala Radim","ODS","ODS"
"202","Boháè Zdenìk","ODS","ODS"
"203","Neèas Petr","ODS","ODS"
"204","Plachı Jaroslav","ODS","ODS"
"205","Úlehla Tomáš","ODS","ODS"
"206","Táborská Iveta","ODS","ODS"
"207","Pijáèek Jan","ODS","ODS"
"208","Trèka Jan","ODS","ODS"
"209","Hoza Roman","ODS","ODS"
"210","Herentinová Pavlína","ODS","ODS"
"211","Josefík Pavel","ODS","ODS"
"212","Sklenská Jiøina","ODS","ODS"
"213","Šindláø Miroslav","ODS","ODS"
"214","Krupka Jaroslav","ODS","ODS"
"215","Molendová Dagmar","ODS","ODS"
"216","Nowak Libor","ODS","ODS"
"217","Janèálková Dagmar","ODS","ODS"
"218","Pipreková Helena","ODS","ODS"
"219","Bìrskı Kamil","ODS","ODS"
"220","Bednaøík Karel","ODS","ODS"
"221","Rath David","ÈSSD","ÈSSD"
"222","Svoboda Miroslav","ÈSSD","ÈSSD"
"223","Šplíchal Karel","ÈSSD","ÈSSD"
"224","Køeèek Stanislav","ÈSSD","ÈSSD"
"225","Kalábková Gabriela","ÈSSD","ÈSSD"
"226","Polaneckı Vladimír","ÈSSD","ÈSSD"
"227","Koskuba Jiøí","ÈSSD","ÈSSD"
"228","Metelec Jiøí","ÈSSD","ÈSSD"
"229","Pubrdle Tomáš","ÈSSD","ÈSSD"
"230","Pech Jan","ÈSSD","ÈSSD"
"231","Matonoha Drahoslav","ÈSSD","ÈSSD"
"232","Urban Milan","ÈSSD","ÈSSD"
"233","Dolejš Richard","ÈSSD","ÈSSD"
"234","Hamáèek Jan","ÈSSD","ÈSSD"
"235","Mazuchová Lenka","ÈSSD","ÈSSD"
"236","Sunkovskı Petr","ÈSSD","ÈSSD"
"237","Koníèek František","ÈSSD","ÈSSD"
"238","Mocová Dagmar","ÈSSD","ÈSSD"
"239","Semerád Marek","ÈSSD","ÈSSD"
"240","ika Jan","ÈSSD","SPOZ"
"241","Zemek Václav","ÈSSD","ÈSSD"
"242","Medøická Dana","ÈSSD","ÈSSD"
"243","Jandák Vítìzslav","ÈSSD","ÈSSD"
"244","Bohdalová Vlasta","ÈSSD","ÈSSD"
"245","Kratochvíle Karel","ÈSSD","ÈSSD"
"246","Babor Jan","ÈSSD","ÈSSD"
"247","Zeman Eduard","ÈSSD","SPOZ"
"248","Loskotová Marie","ÈSSD","ÈSSD"
"249","Novák Jaromír","ÈSSD","ÈSSD"
"250","Nìmec František","ÈSSD","ÈSSD"
"251","Boška Radek","ÈSSD","SPOZ"
"252","Ševèík Jiøí","ÈSSD","ÈSSD"
"253","Votava Václav","ÈSSD","ÈSSD"
"254","Látka Jan","ÈSSD","ÈSSD"
"255","Šlajs Václav","ÈSSD","ÈSSD"
"256","Emmerová Milada","ÈSSD","ÈSSD"
"257","Fojtík Pavel","ÈSSD","ÈSSD"
"258","Lang Karel","ÈSSD","ÈSSD"
"259","Bauer Jaroslav","ÈSSD","ÈSSD"
"260","Šobr Jaroslav","ÈSSD","ÈSSD"
"261","Fiala Jaroslav","ÈSSD","ÈSSD"
"262","Berka Zdenìk","ÈSSD","ÈSSD"
"263","Bradáè Jaroslav","ÈSSD","ÈSSD"
"264","Lebeda Antonín","ÈSSD","ÈSSD"
"265","Hozmanová Hana","ÈSSD","ÈSSD"
"266","Paroubek Jiøí","ÈSSD","ÈSSD"
"267","Krákora Jaroslav","ÈSSD","ÈSSD"
"268","Mertinová Marcela","ÈSSD","ÈSSD"
"269","Foldyna Jaroslav","ÈSSD","ÈSSD"
"270","Bílek Vladimír","ÈSSD","ÈSSD"
"271","Sinko Pavel","ÈSSD","ÈSSD"
"272","Štejnar Radek","ÈSSD","ÈSSD"
"273","Zapletal Cyril","ÈSSD","ÈSSD"
"274","Ploc Pavel","ÈSSD","ÈSSD"
"275","Vanìk Jiøí","ÈSSD","ÈSSD"
"276","Podzimek Jaroslav","ÈSSD","ÈSSD"
"277","Orgoníková Hana","ÈSSD","ÈSSD"
"278","Lesenská Vladimíra","ÈSSD","ÈSSD"
"279","Böhnisch Robin","ÈSSD","ÈSSD"
"280","Tøešòáková Jana","ÈSSD","ÈSSD"
"281","Šklíba Karel","ÈSSD","ÈSSD"
"282","Lesák Vladimír","ÈSSD","ÈSSD"
"283","Mareèek Jaromír","ÈSSD","SPOZ"
"284","Šolc Jaroslav","ÈSSD","ÈSSD"
"285","Váòa Miroslav","ÈSSD","ÈSSD"
"286","Zelenková Ladislava","ÈSSD","ÈSSD"
"287","Soušek Miloslav","ÈSSD","ÈSSD"
"288","Navrátilová Ludmila","ÈSSD","ÈSSD"
"289","Neubauer Václav","ÈSSD","ÈSSD"
"290","áèková Jaromíra","ÈSSD","ÈSSD"
"291","Novotnı Milan","ÈSSD","SPOZ"
"292","Ascherl Jiøí","ÈSSD","SPOZ"
"293","Tejkl Miroslav","ÈSSD","ÈSSD"
"294","Bublan František","ÈSSD","ÈSSD"
"295","Èernı Karel","ÈSSD","ÈSSD"
"296","Zgarba Petr","ÈSSD","ÈSSD"
"297","Schling Jaromír","ÈSSD","SPOZ"
"298","Draèka Emil","ÈSSD","ÈSSD"
"299","Lukša Pavel","ÈSSD","ÈSSD"
"300","Kovanda Bohumil","ÈSSD","ÈSSD"
"301","Vidláková Alena","ÈSSD","ÈSSD"
"302","Doleal Jaroslav","ÈSSD","ÈSSD"
"303","Sobotka Bohuslav","ÈSSD","ÈSSD"
"304","Tejc Jeronım","ÈSSD","ÈSSD"
"305","Hašek Michal","ÈSSD","ÈSSD"
"306","Ohlídal Ivan","ÈSSD","ÈSSD"
"307","Petrù Jiøí","ÈSSD","ÈSSD"
"308","Skopal Ladislav","ÈSSD","ÈSSD"
"309","Hájek Petr","ÈSSD","ÈSSD"
"310","Altman Jiøí","ÈSSD","ÈSSD"
"311","Slavíková Stanislava","ÈSSD","ÈSSD"
"312","Sklenák Roman","ÈSSD","ÈSSD"
"313","Petøík Jiøí","ÈSSD","ÈSSD"
"314","Vondráková Radmila","ÈSSD","ÈSSD"
"315","Ziegler Jiøí","ÈSSD","ÈSSD"
"316","Krátkı Jiøí","ÈSSD","ÈSSD"
"317","Nìmec Pavel","ÈSSD","ÈSSD"
"318","Smetana Pavel","ÈSSD","ÈSSD"
"319","Pavlièíková Eva","ÈSSD","ÈSSD"
"320","Zemánek Jiøí","ÈSSD","ÈSSD"
"321","Pøichystal Jan","ÈSSD","ÈSSD"
"322","Šoltys Pavel","ÈSSD","ÈSSD"
"323","Škromach Zdenìk","ÈSSD","ÈSSD"
"324","Smıkal Josef","ÈSSD","ÈSSD"
"325","Novosad František","ÈSSD","ÈSSD"
"326","Seïa Antonín","ÈSSD","ÈSSD"
"327","Navrátil Petr","ÈSSD","ÈSSD"
"328","Strnadlová Miroslava","ÈSSD","ÈSSD"
"329","Lacinová Dagmar","ÈSSD","ÈSSD"
"330","Zaorálek Lubomír","ÈSSD","ÈSSD"
"331","Michalík Alfréd","ÈSSD","ÈSSD"
"332","Kluèka Václav","ÈSSD","ÈSSD"
"333","Šincl Ladislav","ÈSSD","ÈSSD"
"334","Petr Bøetislav","ÈSSD","ÈSSD"
"335","Besta Zdenìk","ÈSSD","ÈSSD"
"336","Velebnı Ladislav","ÈSSD","ÈSSD"
"337","Kala Jaroslav","ÈSSD","ÈSSD"
"338","Zechová Iveta","ÈSSD","ÈSSD"
"339","Krejèí Petr","ÈSSD","SPOZ"
"340","Štekbauer Jaroslav","ÈSSD","ÈSSD"
"341","Votoèek Jan","SNK ED","TOP 09"
"342","Jankovskı Kamil","SNK ED","VV"
"343","Huml Stanislav","SNK ED","VV"
"344","Švácha Jan","SNK ED","TOP 09"
"345","Digrin Petr","SNK ED","TOP 09"
"346","Smutnı Jan","SNK ED","TOP 09"
"347","Machaè Jiøí","SNK ED","Obèané"
"348","Vendlová Veronika","SNK ED","TOP 09"
"349","Mraèek Lumír","SNK ED","VV"
"350","Bednáøová Petra","SNK ED","VV"
"351","Procházka Václav","SNK ED","Obèané"
"352","Petrus Václav","SNK ED","TOP 09"
"353","Kotek Jiøí","SNK ED","Obèané"
"354","Zámostná Olga","SNK ED","Obèané"
"355","Bro Jiøí","SNK ED","Obèané"
"356","Rùièka Jaroslav","SNK ED","Obèané"
"357","Jandová Jana","SNK ED","Obèané"
"358","Morávek Jiøí","SNK ED","Obèané"
"359","Horáèek Josef","SNK ED","TOP 09"
"360","Šabata Radovan","SNK ED","TOP 09"
"361","Bartoò Jan","SNK ED","TOP 09"
"362","Štìrba Jiøí","SNK ED","TOP 09"
"363","Kabátek Bohuslav","SNK ED","VV"
"364","Tulpa Petr","SNK ED","TOP 09"
"365","Maierová Hana","SNK ED","TOP 09"
"366","Macháèek Ivan","SNK ED","VV"
"367","Štìtina Jiøí","SNK ED","VV"
"368","Kraus Zdenìk","SNK ED","TOP 09"
"369","Koláèek Michal","SNK ED","VV"
"370","Øezníèek Petr","SNK ED","VV"
"371","Fraòková Štìpánka","SNK ED","VV"
"372","Petráò Miroslav","SNK ED","VV"
"373","Skalickı Jiøí","SNK ED","TOP 09"
"374","Honzárek Libor","SNK ED","TOP 09"
"375","Pfaur Ivan","SNK ED","TOP 09"
"376","Èerná Marie","SNK ED","VV"
"377","Marková Kvìtoslava","SNK ED","VV"
"378","Wasserbauer Stanislav","SNK ED","VV"
"379","Kopeckı František","SNK ED","Obèané"
"380","Vlèek Lukáš","SNK ED","VV"
"381","Rozsívalová Jana","SNK ED","Suveren."
"382","Polèák Stanislav","SNK ED","TOP 09"
"383","Kováøík Miroslav","SNK ED","TOP 09"
"384","Stránskı Igor","SNK ED","SZ"
"385","Zdráhalová Lapèíková Zuzana","SNK ED","TOP 09"
"386","Jungmann Pavel","SNK ED","TOP 09"
"387","Køí Vladimír","US-DEU","VV"
"388","Ziková Kvìta","US-DEU","VV"
"389","Picka Libor","US-DEU","TOP 09"
"390","Šnajdauf František","US-DEU","Obèané"
"391","Berger Jan","PB","PB"
"392","Votruba Josef","PB","Suveren."
"393","Durdil Miroslav","PB","PB"
"394","Polan Jindøich","PB","PB"
"395","Šimùnek Zbynìk","PB","PB"
"396","Kaštánková Daniela","PB","PB"
"397","Rybák Karel","PB","PB"
"398","Peterová Lucie","PB","PB"
"399","Velden Jiøí","PB","PB"
"400","Hrabánek Karel","PB","PB"
"401","Karfus Ludvík","PB","PB"
"402","Fronìk Roman","PB","PB"
"403","Jelínek Josef","PB","PB"
"404","Vıbornı Josef","PB","PB"
"405","Pešula Milan Miki","PB","PB"
"406","Mach Libor","PB","PB"
"407","Lev Ivan","PB","PB"
"408","Trejbal František","PB","PB"
"409","Trefná Zdeòka","PB","PB"
"410","Macek Pavel","PB","PB"
"411","Kaštánek Roman","PB","PB"
"412","Frynta Petr","PB","PB"
"413","Diviš Jiøí","PB","PB"
"414","Dvoøák Karel","PB","PB"
"415","Novotnı Jaromír","PB","PB"
"416","Jebavá Miloslava","PB","PB"
"417","Roubínek Miroslav","PB","PB"
"418","Èernota Miroslav","PB","PB"
"419","Adam Lukáš","PB","PB"
"420","Plzák Petr","PB","PB"
"421","Janoušek Miroslav","PB","PB"
"422","Krejsa Jaroslav","PB","PB"
"423","Hofman Vladimír","PB","PB"
"424","Èerná Jitka","PB","PB"
"425","Rost Vlastimil","PB","PB"
"426","Rùièka Jiøí","PB","PB"
"427","Andras Jiøí","PB","PB"
"428","Seibert Eduard","PB","PB"
"429","Beranová Jana","PB","PB"
"430","Lokajová Ellen","PB","PB"
"431","Kuèera Ladislav","PB","Suveren."
"432","Punèocháø Arnošt","PB","PB"
"433","Dìdeèek Václav","PB","PB"
"434","Lukáèek Petr","PB","PB"
"435","Matysková Edita","PB","PB"
"436","Chaloupka Miroslav","PB","PB"
"437","Nosek Zdenìk","PB","PB"
"438","Durchánek Petr","PB","PB"
"439","Jankoviè Miloš","PB","PB"
"440","Kazilovskı František","PB","PB"
"441","Tichı Lubomír","PB","PB"
"442","Steklı Roman","PB","PB"
"443","Kudláèek Kryštof","PB","PB"
"444","Janèula Milan","PB","PB"
"445","Vlk Ondøej","PB","PB"
"446","Boøil Jaroslav","PB","PB"
"447","Zejda Antonín","PB","PB"
"448","Myslivec Jindøich","PB","PB"
"449","Nìmec Ivo","PB","PB"
"450","Vévoda Bohuslav","PB","PB"
"451","Neubauer Vlastimil","PB","PB"
"452","Koplová Eva","PB","PB"
"453","Valenta Zdenìk","PB","PB"
"454","Cibulka Petr","PB","PB"
"455","Hejl Petr","PB","PB"
"456","Rùièková Eva","PB","PB"
"457","Hendrych Vladimír","PB","PB"
"458","Zelená Marie","PB","PB"
"459","Kobaník Václav","PB","PB"
"460","Jankovièová Marta","PB","PB"
"461","Nováková Jana","PB","PB"
"462","Skopcová Jaroslava","PB","PB"
"463","Bartoòová Vìra","PB","PB"
"464","Sobczyñski Pavel","PB","PB"
"465","Vlnová Pavlína","PB","PB"
"466","Štìpánek Josef","PB","PB"
"467","Kazilovská Petra","PB","PB"
