"","again","party1","party2"
"599","Drápalová Jana","SZ","SZ"
"600","Havlíèek Tomáš","SZ","SZ"
"601","Benešová Zuzana","SZ","SZ"
"602","Matuška Jiøí","SZ","SZ"
"603","Nawrath Martin","SZ","SZ"
"604","Gaillyová Yvonna","SZ","SZ"
"605","Bartùšek David","SZ","SZ"
"606","Hollan Jan","SZ","SZ"
"607","Andrš Pavel","SZ","""KÈ"""
"608","Hradil Tomáš","SZ","SZ"
"609","Šarapatka Boøivoj","SZ","TOP 09"
"610","Kolaøík Martin","SZ","SZ"
"611","Urban Jiøí","SZ","SZ"
"612","Roubíková Blanka","SZ","SZ"
"613","Mátl Milan","SZ","SZ"
"614","Los Martin","SZ","SZ"
"615","Šulgan František","SZ","SZ"
"616","Janík Miroslav","SZ","SZ"
"617","Stojarová Vìra","SZ","SZ"
"618","Pavelka Karel","SZ","SZ"
"619","Jurek Vilém","SZ","SZ"
"620","Èernı Miroslav","SZ","SZ"
"621","Èich Vlastimil","SZ","SZ"
"622","Orel Petr","SZ","SZ"
"623","Riegel Karel","SZ","SZ"
"624","Mandrla Vladimír","SZ","SZ"
"625","Bartoš Ivan","SZ","SZ"
"626","Krist Jiøí","SZ","SZ"
"627","Tamáš Jan","H.S.","HS"
"628","Novomestská Ivona","H.S.","HS"
"629","Chocholatá Lucie","H.S.","HS"
"630","Bednáøová Táòa","H.S.","HS"
"631","Heøtusová Simona","H.S.","HS"
"632","Feminová Dana","H.S.","HS"
"633","Bednáø Jan","H.S.","HS"
"634","Doušová Silvia","H.S.","HS"
"635","Hrušínskı Martin","H.S.","HS"
"636","Mevald Martin","H.S.","HS"
"637","Beneš František","KSÈM","KSÈM"
"638","Dolejš Jiøí","KSÈM","KSÈM"
"639","Exner Václav","KSÈM","KSÈM"
"640","Semelová Marta","KSÈM","KSÈM"
"641","Skála Josef","KSÈM","KSÈM"
"642","Ambro Pavel","KSÈM","KSÈM"
"643","Krajèa Milan","KSÈM","KSÈM"
"644","Jumr Václav","KSÈM","KSÈM"
"645","Èunátová Jana","KSÈM","KSÈM"
"646","Mouèková Miroslava","KSÈM","KSÈM"
"647","Vìrteláø Václav","KSÈM","KSÈM"
"648","Gušlbauerová Dagmar","KSÈM","KSÈM"
"649","Janouch Roman","KSÈM","KSÈM"
"650","Hronová Alena","KSÈM","KSÈM"
"651","Koudele František","KSÈM","KSÈM"
"652","Grospiè Stanislav","KSÈM","KSÈM"
"653","Fialová Jiøina","KSÈM","KSÈM"
"654","Vostrá Miloslava","KSÈM","KSÈM"
"655","Melša Václav","KSÈM","KSÈM"
"656","Kudrna Luboš","KSÈM","KSÈM"
"657","Jetenskı Pavel","KSÈM","KSÈM"
"658","Humlová Jiøina","KSÈM","KSÈM"
"659","Štefek Zdenìk","KSÈM","KSÈM"
"660","Hejduk Stanislav","KSÈM","KSÈM"
"661","Peltan Rudolf","KSÈM","KSÈM"
"662","Pavlíková Kateøina","KSÈM","KSÈM"
"663","Sirotek Kamil","KSÈM","KSÈM"
"664","Nekováøová Zuzana","KSÈM","KSÈM"
"665","Filip Vojtìch","KSÈM","KSÈM"
"666","Branı Petr","KSÈM","KSÈM"
"667","Jirousová Taána","KSÈM","KSÈM"
"668","Vytiska Tomeš","KSÈM","KSÈM"
"669","Baborová Vítìzslava","KSÈM","KSÈM"
"670","Sedláèek Stanislav","KSÈM","KSÈM"
"671","Dvoøák Luboš","KSÈM","KSÈM"
"672","Rodinová Hana","KSÈM","KSÈM"
"673","Nohavová Alena","KSÈM","KSÈM"
"674","Janáèek Gustav","KSÈM","KSÈM"
"675","Klokoèková Lea","KSÈM","KSÈM"
"676","Filipová Hana","KSÈM","KSÈM"
"677","Levá Ivana","KSÈM","KSÈM"
"678","Šidlo Karel","KSÈM","KSÈM"
"679","Švarcbek Josef","KSÈM","KSÈM"
"680","Nágrová Alexandra","KSÈM","KSÈM"
"681","Hubka Zdenìk","KSÈM","KSÈM"
"682","Kopalová Ladislava","KSÈM","KSÈM"
"683","Hlásek František","KSÈM","KSÈM"
"684","Hojda Pavel","KSÈM","KSÈM"
"685","Holan Jiøí","KSÈM","KSÈM"
"686","Borka Jaroslav","KSÈM","KSÈM"
"687","Valjentová Eva","KSÈM","KSÈM"
"688","Jurèák František","KSÈM","KSÈM"
"689","Kalaš Oleg","KSÈM","KSÈM"
"690","Tancibudek Jan","KSÈM","KSÈM"
"691","Jakubík Václav","KSÈM","KSÈM"
"692","Šenfeld Josef","KSÈM","KSÈM"
"693","Maršíèek Zdenìk","KSÈM","KSÈM"
"694","Sedláèková Erika","KSÈM","KSÈM"
"695","Zíka Tomáš","KSÈM","KSÈM"
"696","Beneš Václav","KSÈM","KSÈM"
"697","Belej Radek","KSÈM","KSÈM"
"698","Buldra Miloslav","KSÈM","KSÈM"
"699","Jírovcová Hana","KSÈM","KSÈM"
"700","Faix Drahomír","KSÈM","KSÈM"
"701","Mackovík Stanislav","KSÈM","KSÈM"
"702","Panc Oldøich","KSÈM","KSÈM"
"703","Picková Vìra","KSÈM","KSÈM"
"704","Souèek Josef","KSÈM","KSÈM"
"705","Nováková Tajana","KSÈM","KSÈM"
"706","Tita Miloš","KSÈM","KSÈM"
"707","Havlík Josef","KSÈM","KSÈM"
"708","Marková Soòa","KSÈM","KSÈM"
"709","Dlab Vlastimil","KSÈM","KSÈM"
"710","Bubnová Blanka","KSÈM","KSÈM"
"711","Ruml Otakar","KSÈM","KSÈM"
"712","Štìpán Lubomír","KSÈM","KSÈM"
"713","Špás Milan","KSÈM","KSÈM"
"714","Šimša Petr","KSÈM","KSÈM"
"715","Snopek Václav","KSÈM","KSÈM"
"716","Gruntová Jitka","KSÈM","KSÈM"
"717","Fišer Jaroslav","KSÈM","KSÈM"
"718","ítková Jana","KSÈM","KSÈM"
"719","Mouèka Jaroslav","KSÈM","KSÈM"
"720","Konèická Kvìta","KSÈM","KSÈM"
"721","Dudla Martin","KSÈM","KSÈM"
"722","Kubù Pavel","KSÈM","KSÈM"
"723","Kováèik Pavel","KSÈM","KSÈM"
"724","Bièík Milan","KSÈM","KSÈM"
"725","Rusová Marie","KSÈM","KSÈM"
"726","Hodáè Pavel","KSÈM","KSÈM"
"727","Herzán Martin","KSÈM","KSÈM"
"728","Cihláø František","KSÈM","KSÈM"
"729","Semorád Zdenìk","KSÈM","KSÈM"
"730","Vejmìlek Ladislav","KSÈM","KSÈM"
"731","Moravec Karel","KSÈM","KSÈM"
"732","Nigoš Štefan","KSÈM","KSÈM"
"733","Grebeníèek Miroslav","KSÈM","KSÈM"
"734","Adam Vojtìch","KSÈM","KSÈM"
"735","Bøeza Pavel","KSÈM","KSÈM"
"736","Pojeznı Ivo","KSÈM","KSÈM"
"737","Oboøilová Lenka","KSÈM","KSÈM"
"738","Tesaøík Zdenìk","KSÈM","KSÈM"
"739","Luntner Svatopluk","KSÈM","KSÈM"
"740","Køivánková Vìra","KSÈM","KSÈM"
"741","Bıèek Ladislav","KSÈM","KSÈM"
"742","Florus Martin","KSÈM","KSÈM"
"743","Øehoø Jan","KSÈM","KSÈM"
"744","Tesaø Vojtìch","KSÈM","KSÈM"
"745","Èernı Alexander","KSÈM","KSÈM"
"746","Mlèák Ladislav","KSÈM","KSÈM"
"747","Kania Jindøich","KSÈM","KSÈM"
"748","Sumara Ivan","KSÈM","KSÈM"
"749","Marek Miroslav","KSÈM","KSÈM"
"750","Opršal Jaroslav","KSÈM","KSÈM"
"751","Nekl Josef","KSÈM","KSÈM"
"752","Urbánek Vladimír","KSÈM","KSÈM"
"753","Brada Zdenìk","KSÈM","KSÈM"
"754","Veselı Kamil","KSÈM","KSÈM"
"755","Grygar Stanislav","KSÈM","KSÈM"
"756","Navrátil Miroslav","KSÈM","KSÈM"
"757","Štaudnerová Ludmila","KSÈM","KSÈM"
"758","Koníèek Vladimír","KSÈM","KSÈM"
"759","Butnikošarovská Dagmar","KSÈM","KSÈM"
"760","Procházka Jaroslav","KSÈM","KSÈM"
"761","Opravilová Esma","KSÈM","KSÈM"
"762","Maøák Ivan","KSÈM","KSÈM"
"763","Místeckı Vladimír","KSÈM","KSÈM"
"764","Hlobilová Zdeòka","KSÈM","KSÈM"
"765","Bazalková Dáša","KSÈM","KSÈM"
"766","Varga Jiøí","KSÈM","KSÈM"
"767","Opálka Miroslav","KSÈM","KSÈM"
"768","Koneèná Kateøina","KSÈM","KSÈM"
"769","Svoboda Karel","KSÈM","KSÈM"
"770","Recman Svatomír","KSÈM","KSÈM"
"771","Halíková Milada","KSÈM","KSÈM"
"772","Hyvnar Radim","KSÈM","KSÈM"
"773","Heczko Eduard","KSÈM","KSÈM"
"774","Hanusová Jitka","KSÈM","KSÈM"
"775","Šimíková Martina","KSÈM","KSÈM"
"776","Vrba Ivan","KSÈM","KSÈM"
"777","Luzar Leo","KSÈM","KSÈM"
"778","Varteckı Petr","KSÈM","KSÈM"
"779","Dener Tomáš","KSÈM","KSÈM"
"780","Horáková Dagmar","KSÈM","KSÈM"
"781","Chovancová Marta","SP","Suveren."
"782","Holba Pavel","KAN","Obèané"
"783","Domlátil Jiøí","KAN","Obèané"
"784","Sedlmayerová Olga","KAN","Obèané"
"785","Støíbrnı Vladimír","HNPD","TOP 09"
"786","Kuèírek Zdenìk","SP","Obèané"
"787","Lua Bohumil","KAN","KONS"
"788","Cigánek František","KAN","KONS"
"789","Bezdìk Jaroslav","KAN","KONS"
"790","Skopal Jaroslav","MDS","ÈSNS2005"
"791","Vaøeka Ladislav","KAN","KONS"
"792","Podrackı Vlastimil","MDS","KONS"
"793","Šulc Jaroslav","KAN","KONS"
"794","Štìdroò Radoslav","SP","Suveren."
"795","Szotkowski Jan","HNPD","Suveren."
"796","Tomica Antonín","HNPD","Suveren."
"797","Voráè Martin","NS","KONS"
"798","Kuèera Dušan","NS","SPR-RSÈ"
"799","Spudil Radek","NS","Obèané"
"800","Kroupa Pavel","NS","SPR-RSÈ"
"801","Vaòata Jindøich","NS","DSSS"
"802","Soukup Milan","NS","DSSS"
"803","Èukalovskı Josef","NS","SPR-RSÈ"
"804","Soukupová Radka","NS","DSSS"
"805","Štanglová Monika","NS","DSSS"
"806","Øimnáè František","NS","SPR-RSÈ"
"807","Pour Bohumil","NS","SPR-RSÈ"
"808","Pešek Jan Adam","NS","SPR-RSÈ"
"809","Rùièka Miroslav","NS","SPR-RSÈ"
"810","Pekárková Lucie","NS","DSSS"
"811","Kubinec Jan","NS","DSSS"
"812","Pikola Rudolf","NS","DSSS"
"813","Èernı Libor","NS","DSSS"
"814","Dichter František","NS","DSSS"
"815","Komárek Václav","NS","DSSS"
"816","Machová Iveta","NS","DSSS"
"817","Poledno Jiøí","NS","DSSS"
"818","Fronèek Vilém","NS","DSSS"
"819","Vícha René","NS","DSSS"
"820","Svoboda Cyril","KDU-ÈSL","KDU-ÈSL"
"821","Hošek Marián","KDU-ÈSL","KDU-ÈSL"
"822","Orel Jaroslav","KDU-ÈSL","KDU-ÈSL"
"823","Burgr Petr","KDU-ÈSL","KDU-ÈSL"
"824","Jelenová Zuzana","KDU-ÈSL","KDU-ÈSL"
"825","Rázková Daniela","KDU-ÈSL","KDU-ÈSL"
"826","Philipp Tom","KDU-ÈSL","KDU-ÈSL"
"827","Kapièák Ivan","KDU-ÈSL","KDU-ÈSL"
"828","Prausová Erika","KDU-ÈSL","KDU-ÈSL"
"829","Èiinskı Jan","KDU-ÈSL","KDU-ÈSL"
"830","Fajstavrová Jana","KDU-ÈSL","TOP 09"
"831","Parkanová Vlasta","KDU-ÈSL","TOP 09"
"832","Ptáèková Melicharová Lenka","KDU-ÈSL","KDU-ÈSL"
"833","Kroupa Karel","KDU-ÈSL","KDU-ÈSL"
"834","Kuhn Jiøí","KDU-ÈSL","KDU-ÈSL"
"835","Sova Karel","KDU-ÈSL","KDU-ÈSL"
"836","Hermuth Jiøí","KDU-ÈSL","KDU-ÈSL"
"837","Štorková Marie","KDU-ÈSL","KDU-ÈSL"
"838","Prùša Daniel","KDU-ÈSL","KDU-ÈSL"
"839","Chotívka Petr","KDU-ÈSL","TOP 09"
"840","Pavliš Miroslav","KDU-ÈSL","KDU-ÈSL"
"841","Blecha Karel","KDU-ÈSL","KDU-ÈSL"
"842","Kalousek Miroslav","KDU-ÈSL","TOP 09"
"843","Talíø Jaromír","KDU-ÈSL","KDU-ÈSL"
"844","Vodièka Rudolf","KDU-ÈSL","KDU-ÈSL"
"845","Hrdinová Marie","KDU-ÈSL","KDU-ÈSL"
"846","Matìjù Václav","KDU-ÈSL","TOP 09"
"847","Franta Lukáš","KDU-ÈSL","KDU-ÈSL"
"848","Malík Stanislav","KDU-ÈSL","KDU-ÈSL"
"849","Houdek Jiøí","KDU-ÈSL","KDU-ÈSL"
"850","Dvoøák Zdenìk","KDU-ÈSL","KDU-ÈSL"
"851","Lobkowicz Jaroslav","KDU-ÈSL","TOP 09"
"852","Vaèkáø Jiøí","KDU-ÈSL","TOP 09"
"853","Lodr Jiøí","KDU-ÈSL","KDU-ÈSL"
"854","Náhlík Petr","KDU-ÈSL","KDU-ÈSL"
"855","Bílek Roman","KDU-ÈSL","KDU-ÈSL"
"856","Kadlec Jan","KDU-ÈSL","KDU-ÈSL"
"857","Koderová Marie","KDU-ÈSL","KDU-ÈSL"
"858","Malı Josef","KDU-ÈSL","TOP 09"
"859","Poledníèek Marek","KDU-ÈSL","KDU-ÈSL"
"860","Novák Jiøí","KDU-ÈSL","KDU-ÈSL"
"861","Matuška Radek","KDU-ÈSL","KDU-ÈSL"
"862","Hoferic Milan","KDU-ÈSL","KDU-ÈSL"
"863","Tobolková Marie","KDU-ÈSL","TOP 09"
"864","Kubínek Jiøí","KDU-ÈSL","TOP 09"
"865","Rùièka František","KDU-ÈSL","KDU-ÈSL"
"866","Müller Miloslav","KDU-ÈSL","TOP 09"
"867","Boèek Pavel","KDU-ÈSL","TOP 09"
"868","Landa Jiøí","KDU-ÈSL","KDU-ÈSL"
"869","Buøt Vladimír","KDU-ÈSL","SZ"
"870","Poláèková Eva","KDU-ÈSL","KDU-ÈSL"
"871","Chaloupek Tomáš","KDU-ÈSL","KDU-ÈSL"
"872","Zelenková Václava","KDU-ÈSL","KDU-ÈSL"
"873","Pištìková Dagmar","KDU-ÈSL","KDU-ÈSL"
"874","Steiner Leo","KDU-ÈSL","KDU-ÈSL"
"875","Barborka Vladimír","KDU-ÈSL","KDU-ÈSL"
"876","Drábek Jaromír","KDU-ÈSL","TOP 09"
"877","Jiran Pavel","KDU-ÈSL","KDU-ÈSL"
"878","Veber Tomáš","KDU-ÈSL","KDU-ÈSL"
"879","Nosek Václav","KDU-ÈSL","KDU-ÈSL"
"880","Svoboda Kamil Jan","KDU-ÈSL","KDU-ÈSL"
"881","Derner Vladimír","KDU-ÈSL","KDU-ÈSL"
"882","Vitvar Jiøí","KDU-ÈSL","KDU-ÈSL"
"883","Neumann Petr","KDU-ÈSL","KDU-ÈSL"
"884","Kaizr Jan Simeon","KDU-ÈSL","KDU-ÈSL"
"885","Veselı Jiøí","KDU-ÈSL","KDU-ÈSL"
"886","Hùlek Pavel","KDU-ÈSL","KDU-ÈSL"
"887","Severa Pavel","KDU-ÈSL","TOP 09"
"888","Šotola Pavel","KDU-ÈSL","KDU-ÈSL"
"889","Brokeš Pavel","KDU-ÈSL","KDU-ÈSL"
"890","Starı Pavel","KDU-ÈSL","KDU-ÈSL"
"891","Kumstıøová Zdenka","KDU-ÈSL","KDU-ÈSL"
"892","Weisbauer František","KDU-ÈSL","KDU-ÈSL"
"893","Petr Pavel","KDU-ÈSL","KDU-ÈSL"
"894","Kasal Jan","KDU-ÈSL","KDU-ÈSL"
"895","Blaek Jiøí","KDU-ÈSL","TOP 09"
"896","Šustrová Helena","KDU-ÈSL","KDU-ÈSL"
"897","Preininger Tomáš","KDU-ÈSL","KDU-ÈSL"
"898","Linhart Milan","KDU-ÈSL","KDU-ÈSL"
"899","Hrubı Jaroslav","KDU-ÈSL","KDU-ÈSL"
"900","Køišan Tomáš","KDU-ÈSL","KDU-ÈSL"
"901","Komárek Štìpán","KDU-ÈSL","KDU-ÈSL"
"902","Houška Miroslav","KDU-ÈSL","KDU-ÈSL"
"903","Husák Jan","KDU-ÈSL","TOP 09"
"904","Kamba Stanislav","KDU-ÈSL","KDU-ÈSL"
"905","Vybíral Alois","KDU-ÈSL","KDU-ÈSL"
"906","Matìjková Anna","KDU-ÈSL","KDU-ÈSL"
"907","Tesaøík Antonín","KDU-ÈSL","KDU-ÈSL"
"908","Bedrava Martin","KDU-ÈSL","KDU-ÈSL"
"909","Havíø František","KDU-ÈSL","KDU-ÈSL"
"910","Berka Pavel","KDU-ÈSL","KDU-ÈSL"
"911","Nìmec Jiøí","KDU-ÈSL","KDU-ÈSL"
"912","Boøeckı Karel","KDU-ÈSL","TOP 09"
"913","Prokop Pavel","KDU-ÈSL","KDU-ÈSL"
"914","Kocanda Vlastimil","KDU-ÈSL","TOP 09"
"915","König Jan","KDU-ÈSL","KDU-ÈSL"
"916","Vykydal Ivo","KDU-ÈSL","TOP 09"
"917","Prinz Petr","KDU-ÈSL","KDU-ÈSL"
"918","Novotná Milena","KDU-ÈSL","KDU-ÈSL"
"919","Miklas Jindøich","KDU-ÈSL","KDU-ÈSL"
"920","Chalánková Jitka","KDU-ÈSL","TOP 09"
"921","Fidrmuc Jaroslav","KDU-ÈSL","KDU-ÈSL"
"922","John František","KDU-ÈSL","KDU-ÈSL"
"923","Jureèka Marian","KDU-ÈSL","KDU-ÈSL"
"924","Kubíèek Jindøich","KDU-ÈSL","KDU-ÈSL"
"925","Šojdrová Michaela","KDU-ÈSL","KDU-ÈSL"
"926","Hovorka Ludvík","KDU-ÈSL","KDU-ÈSL"
"927","Studeník Pavel","KDU-ÈSL","KDU-ÈSL"
"928","Jelínková Šárka","KDU-ÈSL","KDU-ÈSL"
"929","Uher Even","KDU-ÈSL","TOP 09"
"930","Carbol Jiøí","KDU-ÈSL","KDU-ÈSL"
"931","Vícha Josef","KDU-ÈSL","KDU-ÈSL"
"932","Staòková Marcela","KDU-ÈSL","KDU-ÈSL"
"933","itníková Gabriela","KDU-ÈSL","KDU-ÈSL"
"934","Chamráth Rudolf","KDU-ÈSL","KDU-ÈSL"
"935","Dolanskı Bohumil","KDU-ÈSL","TOP 09"
"936","Forišková Dana","KDU-ÈSL","KDU-ÈSL"
"937","Pindejová Kateøina","KDU-ÈSL","KDU-ÈSL"
"938","Praáková Vìra","KDU-ÈSL","KDU-ÈSL"
"939","Vrchoveckı František","KDU-ÈSL","KDU-ÈSL"
"940","Šujan Vojtìch","KDU-ÈSL","KDU-ÈSL"
"941","Pùèek Jan","KDU-ÈSL","KDU-ÈSL"
"942","Kaleta Petr","KDU-ÈSL","KDU-ÈSL"
"943","Jaroš Ladislav","NEZ/DEM","SPOZ"
"944","Duha Radek","NEZ/DEM","Suveren."
"945","Paldinus ¼uboš","NEZ/DEM","Suveren."
"946","Vítovcová Ladislava","NEZ/DEM","Suveren."
"947","Mudra Jaroslav","NEZ/DEM","Suveren."
"948","Ambrozková Jaroslava","NEZ/DEM","Suveren."
"949","Janeèek Jiøí","NEZ/DEM","Suveren."
"950","Kozerová Marcela","NEZ/DEM","SPOZ"
"951","Šafránek Kvìtoslav","NEZ/DEM","TOP 09"
"952","Hudlíková Andrea","NEZ/DEM","Suveren."
"953","Chmelaø Rudolf","NEZ/DEM","VV"
"954","Volfová Jana","NEZ/DEM","Suveren."
"955","Bergerová Štìpánka","SRŠ","SZ"
"956","Pøikrylová Petra","SRŠ","STOP"
"957","Frélichová Eva","SRŠ","VV"
