districtNumber;districtName;orderList;name;age;votes;nomParty;minor
38;Severomoravskı;35;Piech Zdenìk;34;410;ODS;0
38;Severomoravskı;36;Gramblíèková Elena;48;346;ODS;0
38;Severomoravskı;37;Mareš Miloš;36;487;ODS;0
38;Severomoravskı;38;Bendík Zdenìk;41;554;ODS;0
38;Severomoravskı;39;Krill Petr;57;1 171;ODS;0
38;Severomoravskı;40;Sobotík Petr;54;580;ODS;0
38;Severomoravskı;41;Vanura Jiøí;54;1 573;ODS;0
38;Severomoravskı;42;Stanìk Miloslav;63;289;ODS;0
38;Severomoravskı;43;Demeter Vladimír;44;509;ODS;0
38;Severomoravskı;44;Bárta Lumír;61;269;ODS;0
38;Severomoravskı;45;Èajan Josef;50;663;ODS;0
38;Severomoravskı;46;Kuèík Rafael;54;652;ODS;0
38;Severomoravskı;47;Lipskı Milan;46;506;ODS;0
38;Severomoravskı;48;Orság Hynek;31;347;ODS;0
38;Severomoravskı;49;Pavlíková Jiøina;45;866;ODS;0
38;Severomoravskı;50;Navrátil Jan;57;433;ODS;0
38;Severomoravskı;51;Vlèek Vladimír;51;721;ODS;0
38;Severomoravskı;52;Starı Jan;51;716;ODS;0
38;Severomoravskı;53;Studecká Nadìda;40;274;ODS;0
38;Severomoravskı;54;Klíma Rostislav;59;290;ODS;0
38;Severomoravskı;55;Vanìk Jaroslav;38;431;ODS;0
31;Praha;1;Holba Pavel;57;54;OK-PK;1
31;Praha;2;Nekola Jan;55;82;OK-PK;1
31;Praha;3;Sussmann Jan;45;29;OK-PK;1
31;Praha;5;Pavel Josef;53;31;OK-PK;1
31;Praha;6;Rubík Rostislav;40;24;OK-PK;1
31;Praha;7;Kocourek František;58;21;OK-PK;1
31;Praha;8;Matoušková Jaroslava;40;29;OK-PK;1
31;Praha;9;Jisl Vladimír;58;6;OK-PK;1
31;Praha;10;Douša Eduard;46;38;OK-PK;1
31;Praha;11;Zvoníèková Nadìda;32;13;OK-PK;1
31;Praha;12;Jirásková Ludmila;50;12;OK-PK;1
31;Praha;13;Hejnı Jiøí;42;10;OK-PK;1
31;Praha;14;Felix Viktor;41;17;OK-PK;1
31;Praha;15;Kroutilová Jiøina;52;3;OK-PK;1
31;Praha;16;Filipec Pavel;50;19;OK-PK;1
31;Praha;17;Kaulfus Jaromír;49;7;OK-PK;1
31;Praha;18;Kozlová Dana;35;4;OK-PK;1
31;Praha;19;Slepèíková Markéta;29;18;OK-PK;1
31;Praha;20;Panašová Eva;58;14;OK-PK;1
31;Praha;21;Ripová Lucie;25;21;OK-PK;1
31;Praha;22;Domlátil Jiøí;52;14;OK-PK;1
31;Praha;23;Weidenhofferová Daniela;51;10;OK-PK;1
31;Praha;24;Šlehobrová Jana;55;14;OK-PK;1
31;Praha;25;Vychodil Petr;45;8;OK-PK;1
31;Praha;26;Kopecká Danica;55;0;OK-PK;1
31;Praha;27;Katzová Marie;50;1;OK-PK;1
31;Praha;28;Chaloupková Vlasta;37;7;OK-PK;1
31;Praha;29;Šimanová Blanka;54;2;OK-PK;1
31;Praha;30;Dubskı Milan;40;3;OK-PK;1
31;Praha;31;Urbánek Roman;44;3;OK-PK;1
31;Praha;32;Rubíková Alena;64;1;OK-PK;1
31;Praha;33;Sobotková Alena;49;8;OK-PK;1
32;Støedoèeskı;1;Wagner Jozef;57;314;OK-PK;1
32;Støedoèeskı;2;Palouš Martin;47;144;OK-PK;1
32;Støedoèeskı;3;Machaè Jiøí;49;40;OK-PK;1
32;Støedoèeskı;4;Herdová Olga;41;52;OK-PK;1
32;Støedoèeskı;5;Grušová Eva;54;43;OK-PK;1
32;Støedoèeskı;6;Ripová Lidmila;53;73;OK-PK;1
32;Støedoèeskı;7;Vorlová Jaroslava;48;13;OK-PK;1
32;Støedoèeskı;8;Florian Klement;47;13;OK-PK;1
32;Støedoèeskı;9;Heøman František;46;45;OK-PK;1
32;Støedoèeskı;10;Vápenka Miroslav;45;11;OK-PK;1
32;Støedoèeskı;11;Burian Alois;29;27;OK-PK;1
32;Støedoèeskı;12;Bìlík Martin;33;20;OK-PK;1
32;Støedoèeskı;13;Šobr Karel;50;18;OK-PK;1
32;Støedoèeskı;14;Kvasnı Jiøí;58;27;OK-PK;1
32;Støedoèeskı;15;Kuchler Kamil;42;3;OK-PK;1
32;Støedoèeskı;16;Slobodzian Jan;52;17;OK-PK;1
32;Støedoèeskı;17;Svoboda Jiøí;46;14;OK-PK;1
32;Støedoèeskı;18;Hosa Zdenìk;70;27;OK-PK;1
32;Støedoèeskı;19;Králová Daniela;56;13;OK-PK;1
32;Støedoèeskı;20;Matoušek Martin;27;8;OK-PK;1
32;Støedoèeskı;21;Chaloupka Miloslav;40;13;OK-PK;1
32;Støedoèeskı;22;Beneš Karel;49;0;OK-PK;1
32;Støedoèeskı;23;Hrádková Vìra;45;3;OK-PK;1
32;Støedoèeskı;24;Spilka Miroslav;48;13;OK-PK;1
32;Støedoèeskı;25;Šmíd Miroslav;45;17;OK-PK;1
32;Støedoèeskı;26;Vávrová ivka;40;6;OK-PK;1
32;Støedoèeskı;27;Fronìk Dušan;34;14;OK-PK;1
32;Støedoèeskı;28;Šapov Jiøí;37;10;OK-PK;1
32;Støedoèeskı;29;Slavíèek Jiøí;50;11;OK-PK;1
33;Jihoèeskı;1;Trhlík Jan;56;11;OK-PK;1
33;Jihoèeskı;2;Ayrer Ladislav;38;25;OK-PK;1
33;Jihoèeskı;3;Kadlec Zdenìk;37;16;OK-PK;1
33;Jihoèeskı;4;Kovaøíková Hana;36;9;OK-PK;1
33;Jihoèeskı;5;Papazov Pavel;40;12;OK-PK;1
33;Jihoèeskı;6;Pavézka Zbynìk;25;13;OK-PK;1
33;Jihoèeskı;7;Bízek Michael;53;16;OK-PK;1
33;Jihoèeskı;8;Líkaøová Blanka;67;8;OK-PK;1
33;Jihoèeskı;10;Buøval Václav;48;2;OK-PK;1
33;Jihoèeskı;11;Koutník Milan;58;2;OK-PK;1
33;Jihoèeskı;12;Doleal Roman;33;21;OK-PK;1
33;Jihoèeskı;14;Prùcha Karel;40;12;OK-PK;1
33;Jihoèeskı;15;Pøibyl Petr;34;13;OK-PK;1
33;Jihoèeskı;16;Márová Miloslava;34;8;OK-PK;1
33;Jihoèeskı;18;Dvoøák Václav;32;3;OK-PK;1
34;Západoèeskı;1;Roubínek Zdenìk;40;64;OK-PK;1
34;Západoèeskı;2;Altner Vlastimil;51;39;OK-PK;1
34;Západoèeskı;3;Zimmermann Bedøich;55;46;OK-PK;1
34;Západoèeskı;4;Koneènı Jindøich;57;60;OK-PK;1
34;Západoèeskı;5;Zajíc Zdenìk;47;21;OK-PK;1
34;Západoèeskı;6;Matìjka Miroslav;31;66;OK-PK;1
