districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
2;Støedoèeskı;10;Mareš Filip;37;LEV 21;LEV 21;7;1,66
2;Støedoèeskı;11;Laušmanová Jana;58;LEV 21;LEV 21;2;0,47
2;Støedoèeskı;12;Rössner David;29;LEV 21;LEV 21;8;1,9
2;Støedoèeskı;13;Holinka Ondøej;38;LEV 21;LEV 21;2;0,47
2;Støedoèeskı;14;Tomek Michal;25;LEV 21;LEV 21;4;0,95
2;Støedoèeskı;15;Tovarová Olga;39;LEV 21;LEV 21;7;1,66
2;Støedoèeskı;16;Cajkáø Petr;46;LEV 21;LEV 21;3;0,71
2;Støedoèeskı;17;Kudlík Robert;34;LEV 21;LEV 21;1;0,23
2;Støedoèeskı;18;Hink Tomáš;32;LEV 21;LEV 21;1;0,23
2;Støedoèeskı;19;Vítková Eva;48;LEV 21;LEV 21;1;0,23
2;Støedoèeskı;20;Parastiuk Jan;31;LEV 21;LEV 21;4;0,95
2;Støedoèeskı;21;Bouma Lukáš;31;LEV 21;LEV 21;8;1,9
2;Støedoèeskı;22;Pfeiferová Katarína;55;LEV 21;LEV 21;4;0,95
2;Støedoèeskı;23;Èernohorskı Zdenìk;21;LEV 21;LEV 21;1;0,23
2;Støedoèeskı;24;Lhotáková Milada;48;LEV 21;LEV 21;5;1,18
2;Støedoèeskı;25;Èermák Zdenìk;74;LEV 21;LEV 21;3;0,71
2;Støedoèeskı;26;Walter Lukáš;34;LEV 21;BEZPP;3;0,71
2;Støedoèeskı;27;Pokornı Luboš;56;LEV 21;BEZPP;1;0,23
2;Støedoèeskı;28;Novotná Andrea;21;LEV 21;BEZPP;4;0,95
2;Støedoèeskı;29;Havránek Zdenìk;69;LEV 21;BEZPP;0;0
2;Støedoèeskı;30;Vaverka Tomáš;35;LEV 21;LEV 21;2;0,47
2;Støedoèeskı;31;Zimmer Jakub;22;LEV 21;LEV 21;2;0,47
2;Støedoèeskı;32;Marešová Lada;51;LEV 21;LEV 21;1;0,23
2;Støedoèeskı;33;Paøízek Libor;34;LEV 21;LEV 21;2;0,47
2;Støedoèeskı;34;Pochopová Martina;43;LEV 21;BEZPP;0;0
3;Jihoèeskı;1;Dvoøák Tomáš;27;LEV 21;LEV 21;9;4,97
3;Jihoèeskı;2;Pachner Zdenìk;29;LEV 21;LEV 21;6;3,31
3;Jihoèeskı;3;Brùek František;25;LEV 21;LEV 21;6;3,31
3;Jihoèeskı;4;Èech Pavel;35;LEV 21;LEV 21;5;2,76
3;Jihoèeskı;5;Heinrich Petr;35;LEV 21;LEV 21;4;2,2
3;Jihoèeskı;6;Vrátnı Jan;39;LEV 21;LEV 21;2;1,1
3;Jihoèeskı;7;Tomášková Elena;45;LEV 21;LEV 21;5;2,76
3;Jihoèeskı;8;Pachner Miloš;27;LEV 21;LEV 21;3;1,65
3;Jihoèeskı;9;Kudrna Michal;28;LEV 21;LEV 21;6;3,31
