districtNumber;districtName;orderList;name;age;votes;nomParty;;
33;Jihoèeskı;20;Martan Jan;41;37;SD-LSNS;;
34;Západoèeskı;1;Sokol Tomáš;44;1 324;SD-LSNS;;
34;Západoèeskı;2;Vágnerová Irena;39;456;SD-LSNS;;
34;Západoèeskı;3;Havlíèek Josef;54;562;SD-LSNS;;
34;Západoèeskı;4;Smolka Jan;47;502;SD-LSNS;;
34;Západoèeskı;5;Kubík Josef;54;284;SD-LSNS;;
34;Západoèeskı;6;Líbal Vladimír;41;332;SD-LSNS;;
34;Západoèeskı;7;Hlávka Petr;47;338;SD-LSNS;;
34;Západoèeskı;8;Lerch Jan;30;260;SD-LSNS;;
34;Západoèeskı;9;Halíøová Hana;56;294;SD-LSNS;;
34;Západoèeskı;10;Schumichrast Ladislav;35;257;SD-LSNS;;
34;Západoèeskı;11;Dvoøák Jaromír;36;226;SD-LSNS;;
34;Západoèeskı;12;Friedrich Václav;35;170;SD-LSNS;;
34;Západoèeskı;13;Zámostná Olga;57;283;SD-LSNS;;
34;Západoèeskı;14;Ráb Antonín;46;208;SD-LSNS;;
34;Západoèeskı;15;Paulová Blanka;46;496;SD-LSNS;;
34;Západoèeskı;16;Špaèek Karel;53;285;SD-LSNS;;
34;Západoèeskı;17;Hromada František;54;159;SD-LSNS;;
34;Západoèeskı;18;Gruber Pavel;41;139;SD-LSNS;;
34;Západoèeskı;19;Pospíšil Rudolf;54;52;SD-LSNS;;
34;Západoèeskı;20;Vlk Ivan;45;214;SD-LSNS;;
34;Západoèeskı;21;Holub Petr;27;78;SD-LSNS;;
34;Západoèeskı;22;Vrátník Vlastimil;38;21;SD-LSNS;;
34;Západoèeskı;23;Goldscheider Pavel;49;33;SD-LSNS;;
34;Západoèeskı;24;Kroc František;23;77;SD-LSNS;;
34;Západoèeskı;25;Hájek Josef;46;54;SD-LSNS;;
35;Severoèeskı;1;Kaèer František;38;526;SD-LSNS;;
35;Severoèeskı;2;Hron Michal;46;889;SD-LSNS;;
35;Severoèeskı;3;Tišer Radovan;32;322;SD-LSNS;;
35;Severoèeskı;4;Kuèerová Jutta;51;755;SD-LSNS;;
35;Severoèeskı;5;Dvoøák Ivan;45;109;SD-LSNS;;
35;Severoèeskı;6;Hudec Miroslav;44;520;SD-LSNS;;
35;Severoèeskı;8;Mikulù Stanislav;54;245;SD-LSNS;;
35;Severoèeskı;9;Kracík Vladimír;33;883;SD-LSNS;;
35;Severoèeskı;10;Plzák Vratislav;44;590;SD-LSNS;;
35;Severoèeskı;11;Ulahel František;50;219;SD-LSNS;;
35;Severoèeskı;12;Krejèí Vlastimil;53;116;SD-LSNS;;
35;Severoèeskı;13;Páleník Marian;32;534;SD-LSNS;;
35;Severoèeskı;14;Volek Jindøich;54;262;SD-LSNS;;
35;Severoèeskı;15;Pakosta Petr;58;324;SD-LSNS;;
35;Severoèeskı;16;Kratochvíl Vladimír;46;236;SD-LSNS;;
35;Severoèeskı;17;Balá Gabriel;34;142;SD-LSNS;;
35;Severoèeskı;18;Beck Tomáš;62;158;SD-LSNS;;
35;Severoèeskı;19;Koèka Petr;46;76;SD-LSNS;;
35;Severoèeskı;20;Bøezinová Blanka;39;64;SD-LSNS;;
35;Severoèeskı;21;Mašek Jiøí;59;67;SD-LSNS;;
35;Severoèeskı;22;Krejèí Jiøí;58;94;SD-LSNS;;
35;Severoèeskı;23;Dìdièová Eva;66;79;SD-LSNS;;
35;Severoèeskı;24;Hassmann Josef;49;193;SD-LSNS;;
35;Severoèeskı;25;Rückl Pavel;53;250;SD-LSNS;;
35;Severoèeskı;26;Humplík Zbynìk;40;117;SD-LSNS;;
35;Severoèeskı;27;Kiša Adam;37;52;SD-LSNS;;
35;Severoèeskı;28;Fousek Jiøí;49;68;SD-LSNS;;
35;Severoèeskı;29;Kratochvíl Jiøí;65;270;SD-LSNS;;
35;Severoèeskı;30;Kouckı Miroslav;63;101;SD-LSNS;;
35;Severoèeskı;31;Koèárková Eva;53;289;SD-LSNS;;
35;Severoèeskı;32;Bláha Jan;43;116;SD-LSNS;;
35;Severoèeskı;33;Kubát Milan;46;183;SD-LSNS;;
35;Severoèeskı;34;Vacek Petr;35;113;SD-LSNS;;
35;Severoèeskı;35;Krauskopf Karel;70;54;SD-LSNS;;
