districtNumber;districtName;orderList;name;age;votes;nomParty;;
38;Severomoravskı;29;Soldán Vojtìch;46;40;NEZ;;
38;Severomoravskı;30;Mlınek Milan;71;18;NEZ;;
38;Severomoravskı;31;Klein Rudolf;40;43;NEZ;;
38;Severomoravskı;32;Weglarzy Zbihnìv;49;69;NEZ;;
38;Severomoravskı;33;Vaculík Miroslav;48;64;NEZ;;
38;Severomoravskı;34;Nováková Vìra;72;4;NEZ;;
38;Severomoravskı;35;waková Arnošta;55;55;NEZ;;
38;Severomoravskı;36;Pyszko Josef;56;67;NEZ;;
38;Severomoravskı;37;Palkovská Helena;57;6;NEZ;;
38;Severomoravskı;38;Monuš František;57;2;NEZ;;
38;Severomoravskı;39;Frydrych Josef;44;27;NEZ;;
38;Severomoravskı;40;Janiczek Boguslav;65;61;NEZ;;
38;Severomoravskı;41;Piegza Karel;63;114;NEZ;;
38;Severomoravskı;42;Janiczek Jan;68;30;NEZ;;
38;Severomoravskı;43;Czepcová Anna;43;81;NEZ;;
38;Severomoravskı;44;Chmiel Josef;59;37;NEZ;;
38;Severomoravskı;45;Mrózek Bronislav;29;100;NEZ;;
38;Severomoravskı;46;Plaèková Jiøina;45;34;NEZ;;
38;Severomoravskı;47;Pacan Jan;71;6;NEZ;;
38;Severomoravskı;48;Curusová Danuše;27;35;NEZ;;
38;Severomoravskı;49;Juzof František;55;26;NEZ;;
38;Severomoravskı;50;Vaník Libor;30;38;NEZ;;
37;Jihomoravskı;1;Døímal Ivan;59;547;MNS-HSS;;
37;Jihomoravskı;2;Skøebskı Miloslav;49;267;MNS-HSS;;
37;Jihomoravskı;3;Pokluda Jaroslav;46;314;MNS-HSS;;
37;Jihomoravskı;4;Jindra Milan;42;127;MNS-HSS;;
37;Jihomoravskı;5;Karásek Jaromír;52;180;MNS-HSS;;
37;Jihomoravskı;6;aludek Jindøich;41;198;MNS-HSS;;
37;Jihomoravskı;7;Nìmeèek Richard;32;81;MNS-HSS;;
37;Jihomoravskı;8;Jarskı Jan;52;64;MNS-HSS;;
37;Jihomoravskı;9;Honner Jan;27;227;MNS-HSS;;
37;Jihomoravskı;10;Skála Stanislav;44;131;MNS-HSS;;
37;Jihomoravskı;11;Cimbalník Vladimír;42;88;MNS-HSS;;
37;Jihomoravskı;12;Sovinskı Jaroslav;54;129;MNS-HSS;;
37;Jihomoravskı;13;Komárek Milan;56;70;MNS-HSS;;
37;Jihomoravskı;14;Katròák Josef;56;59;MNS-HSS;;
37;Jihomoravskı;15;Stehlík František;64;28;MNS-HSS;;
37;Jihomoravskı;16;Pytela Antonín;49;60;MNS-HSS;;
37;Jihomoravskı;17;Bubník Vlastimil;65;117;MNS-HSS;;
37;Jihomoravskı;18;Hromátka Vilém;48;43;MNS-HSS;;
37;Jihomoravskı;19;Jankù František;55;61;MNS-HSS;;
37;Jihomoravskı;20;Trecha Jiøí;26;44;MNS-HSS;;
37;Jihomoravskı;21;Heøman Karel;62;56;MNS-HSS;;
37;Jihomoravskı;22;Olšanskı Vladimír;46;137;MNS-HSS;;
37;Jihomoravskı;23;Píša Milan;21;46;MNS-HSS;;
37;Jihomoravskı;24;Hrùza Pavel;44;76;MNS-HSS;;
37;Jihomoravskı;25;Melounová Vladimíra;43;56;MNS-HSS;;
37;Jihomoravskı;26;Kazinota Svatomír;36;50;MNS-HSS;;
37;Jihomoravskı;27;Tokoš Ivan;27;40;MNS-HSS;;
37;Jihomoravskı;28;Slovák Boris;39;96;MNS-HSS;;
37;Jihomoravskı;29;Bunïálek Pavel;36;31;MNS-HSS;;
37;Jihomoravskı;30;Hoferek Miroslav;59;34;MNS-HSS;;
37;Jihomoravskı;31;Gronych Jindøich;40;24;MNS-HSS;;
37;Jihomoravskı;32;Grabec Josef;48;18;MNS-HSS;;
37;Jihomoravskı;33;Seèkáø Josef;47;16;MNS-HSS;;
37;Jihomoravskı;34;Klement Jaroslav;62;10;MNS-HSS;;
37;Jihomoravskı;35;Polnar Ladislav;39;7;MNS-HSS;;
37;Jihomoravskı;36;Chytil Petr;30;17;MNS-HSS;;
37;Jihomoravskı;37;Malı Vladimír;71;7;MNS-HSS;;
37;Jihomoravskı;38;Horák Svatopluk;71;37;MNS-HSS;;
37;Jihomoravskı;39;Foltın Luboš;26;14;MNS-HSS;;
37;Jihomoravskı;40;Sehnal Petr;25;13;MNS-HSS;;
37;Jihomoravskı;41;Michalèík Josef;45;42;MNS-HSS;;
37;Jihomoravskı;42;Adámek Jiøí;56;27;MNS-HSS;;
37;Jihomoravskı;44;Šteigl David;25;26;MNS-HSS;;
37;Jihomoravskı;45;Hejtmánková Vìra;47;31;MNS-HSS;;
37;Jihomoravskı;46;Pinkava Jaroslav;74;30;MNS-HSS;;
37;Jihomoravskı;47;Piller Stanislav;50;9;MNS-HSS;;
37;Jihomoravskı;48;Skarolek Leopold;51;17;MNS-HSS;;
37;Jihomoravskı;49;Kubíèek Josef;60;4;MNS-HSS;;
37;Jihomoravskı;50;Spáèil Jaroslav;76;24;MNS-HSS;;
37;Jihomoravskı;51;Doubek Zdìnìk;37;9;MNS-HSS;;
37;Jihomoravskı;52;Trnka Milan;48;7;MNS-HSS;;
37;Jihomoravskı;53;Holackı František;51;11;MNS-HSS;;
37;Jihomoravskı;54;Pokornı Milan;45;6;MNS-HSS;;
37;Jihomoravskı;55;Hanák Alois;73;21;MNS-HSS;;
37;Jihomoravskı;56;Heindl Miloslav;38;15;MNS-HSS;;
37;Jihomoravskı;57;Martišek Karel;63;3;MNS-HSS;;
37;Jihomoravskı;58;Mohelskı Zdenìk;37;11;MNS-HSS;;
37;Jihomoravskı;59;Chládek Martin;29;1;MNS-HSS;;
37;Jihomoravskı;60;Rech Mojmír;65;2;MNS-HSS;;
38;Severomoravskı;1;Kvapil Jiøí;56;306;MNS-HSS;;
38;Severomoravskı;2;Doleèek Rajko;71;436;MNS-HSS;;
38;Severomoravskı;3;Riedl Jiøí;47;172;MNS-HSS;;
38;Severomoravskı;4;Ambroz Jiøí;44;184;MNS-HSS;;
38;Severomoravskı;5;Kozák Jiøí;54;153;MNS-HSS;;
38;Severomoravskı;6;Ramert Bohumil;58;79;MNS-HSS;;
38;Severomoravskı;7;Hanzlík Petr;51;67;MNS-HSS;;
38;Severomoravskı;8;Pogoda Jiøí;56;113;MNS-HSS;;
38;Severomoravskı;9;Dukát Jiøí;50;38;MNS-HSS;;
38;Severomoravskı;10;Stránickı Petr;48;89;MNS-HSS;;
38;Severomoravskı;11;Musil Zdenìk;55;36;MNS-HSS;;
38;Severomoravskı;12;Nìmeèková Jana;54;46;MNS-HSS;;
38;Severomoravskı;13;Hajduk Milan;29;70;MNS-HSS;;
38;Severomoravskı;14;Sovinskı Jaroslav;22;55;MNS-HSS;;
38;Severomoravskı;15;Zeová Marie;55;62;MNS-HSS;;
38;Severomoravskı;16;Slouka Jiøí;55;13;MNS-HSS;;
38;Severomoravskı;17;Krısová Hana;43;103;MNS-HSS;;
38;Severomoravskı;18;Šulová Emilie;45;42;MNS-HSS;;
38;Severomoravskı;19;Padìrová Milena;44;49;MNS-HSS;;
38;Severomoravskı;20;Hlùšek Rudolf;54;85;MNS-HSS;;
38;Severomoravskı;21;Kruczek Tomáš;23;62;MNS-HSS;;
38;Severomoravskı;22;Mrozková Danuta;30;48;MNS-HSS;;
38;Severomoravskı;23;Koliha Kvìtoslav;38;63;MNS-HSS;;
38;Severomoravskı;24;Ševèík Zdenìk;48;21;MNS-HSS;;
38;Severomoravskı;25;Roland Zdenìk;45;47;MNS-HSS;;
38;Severomoravskı;26;Strakoš Roman;28;25;MNS-HSS;;
38;Severomoravskı;27;Kadaník Lumír;36;16;MNS-HSS;;
38;Severomoravskı;28;Mader Josef;40;14;MNS-HSS;;
38;Severomoravskı;29;Zatloukal Jaromír;59;56;MNS-HSS;;
38;Severomoravskı;30;Novák Rudolf;54;19;MNS-HSS;;
38;Severomoravskı;31;Múdry Pavel;51;19;MNS-HSS;;
38;Severomoravskı;32;Navrátil Vlastimil;27;17;MNS-HSS;;
38;Severomoravskı;33;Chalupa Václav;75;14;MNS-HSS;;
38;Severomoravskı;34;Horák Milan;50;18;MNS-HSS;;
38;Severomoravskı;35;Šafarèík Miroslav;66;28;MNS-HSS;;
38;Severomoravskı;36;Køí Alois;49;9;MNS-HSS;;
38;Severomoravskı;38;Fišer Jaromír;61;9;MNS-HSS;;
38;Severomoravskı;39;Grégrová Jaroslava;71;2;MNS-HSS;;
38;Severomoravskı;40;Baroš Mirko;26;51;MNS-HSS;;
38;Severomoravskı;41;Balatı Jiøí;23;6;MNS-HSS;;
38;Severomoravskı;42;Kivenová Anna;34;16;MNS-HSS;;
38;Severomoravskı;43;Motal František;65;12;MNS-HSS;;
38;Severomoravskı;44;Vozák František;64;4;MNS-HSS;;
38;Severomoravskı;45;Škrobánek František;42;19;MNS-HSS;;
38;Severomoravskı;46;Vozák Vojtìch;54;42;MNS-HSS;;
38;Severomoravskı;47;Doèekal Petr;40;11;MNS-HSS;;
38;Severomoravskı;48;Pavelka Tomáš;21;62;MNS-HSS;;
38;Severomoravskı;50;Záchová Helena;43;33;MNS-HSS;;
38;Severomoravskı;51;Lys Vilém;53;15;MNS-HSS;;
38;Severomoravskı;52;Janáková Jiøina;48;27;MNS-HSS;;
38;Severomoravskı;53;Šerı Miroslav;22;13;MNS-HSS;;
38;Severomoravskı;54;Vlach Zdenìk;42;32;MNS-HSS;;
38;Severomoravskı;55;Jurásek Roman;27;32;MNS-HSS;;
31;Praha;1;Šafránek Petr;31;1 047;DEU;;
31;Praha;2;Vamberová Daniela;54;874;DEU;;
31;Praha;3;Kraus Pavel;60;324;DEU;;
31;Praha;4;Švehla Jan;48;339;DEU;;
31;Praha;5;Tichotová Pøibyslava;45;780;DEU;;
31;Praha;6;Grohman Jiøí;70;124;DEU;;
31;Praha;7;Mrzílek Karel;65;216;DEU;;
31;Praha;8;Poupìtová Nadìda;43;270;DEU;;
31;Praha;9;Hladovec Josef;71;540;DEU;;
31;Praha;10;Nevrlı František;53;136;DEU;;
31;Praha;11;Svoboda Miloslav;56;136;DEU;;
31;Praha;12;Abraham Jiøí;64;608;DEU;;
31;Praha;13;Èernohubı Petr;40;219;DEU;;
31;Praha;14;Smrèina Jan;55;221;DEU;;
31;Praha;15;Snášel Stanislav;35;221;DEU;;
31;Praha;16;Fencl Jiøí;56;438;DEU;;
31;Praha;17;Placheta Rostislav;55;179;DEU;;
31;Praha;18;Srba Robert;66;59;DEU;;
31;Praha;19;Rıdlová Vìra;55;75;DEU;;
31;Praha;20;Kmínek Josef;49;69;DEU;;
31;Praha;21;Haralík Ferdinand;70;24;DEU;;
31;Praha;22;Obrusník Petr;57;51;DEU;;
31;Praha;23;Exner Pavel;45;108;DEU;;
31;Praha;24;Adamec Ladislav;47;58;DEU;;
31;Praha;25;Hartman Miloslav;58;150;DEU;;
31;Praha;26;Vokurka Karel;41;165;DEU;;
31;Praha;27;Müller Rudolf;51;42;DEU;;
31;Praha;28;Sobotka Vladimír;53;60;DEU;;
31;Praha;29;Glacner Otto;58;19;DEU;;
31;Praha;30;Smolaø Jiøí;61;44;DEU;;
31;Praha;31;Kluzová Darja;70;157;DEU;;
31;Praha;32;Hustoles František;36;88;DEU;;
31;Praha;33;Müller Vlastimil;59;26;DEU;;
31;Praha;34;Efler Zdenìk;37;106;DEU;;
31;Praha;35;Vlk Kvìtoslav;42;81;DEU;;
31;Praha;36;Gruntová Antonie;48;112;DEU;;
32;Støedoèeskı;1;Kudláèková Eva;42;1 208;DEU;;
32;Støedoèeskı;2;Mareš Petr;58;393;DEU;;
32;Støedoèeskı;3;Paul Miloš;29;366;DEU;;
32;Støedoèeskı;4;Pokorná Ivanka;49;775;DEU;;
32;Støedoèeskı;5;Vlèek Tomáš;32;365;DEU;;
32;Støedoèeskı;6;Murová Boena;48;464;DEU;;
32;Støedoèeskı;7;Dosedla Rudolf;53;206;DEU;;
32;Støedoèeskı;8;Králíèek Karel;49;271;DEU;;
32;Støedoèeskı;9;Draskı Vladislav;57;151;DEU;;
32;Støedoèeskı;10;Wilda Tomáš;33;288;DEU;;
32;Støedoèeskı;11;Stibral Jiøí;63;412;DEU;;
32;Støedoèeskı;12;Dvoøák Jan;53;155;DEU;;
32;Støedoèeskı;13;Frebort Antonín;44;122;DEU;;
32;Støedoèeskı;14;Valášek Václav;60;172;DEU;;
32;Støedoèeskı;15;Blahník Petr;47;343;DEU;;
32;Støedoèeskı;16;Martínek Jaroslav;50;99;DEU;;
32;Støedoèeskı;17;Praák Josef;53;77;DEU;;
32;Støedoèeskı;18;Förster Josef;52;466;DEU;;
32;Støedoèeskı;19;Šenfeldová Helena;73;60;DEU;;
32;Støedoèeskı;20;Pechánek Miloslav;56;49;DEU;;
32;Støedoèeskı;21;Valiska Michal;64;27;DEU;;
32;Støedoèeskı;22;Beran Jaroslav;44;98;DEU;;
32;Støedoèeskı;23;Èepela Josef;62;20;DEU;;
32;Støedoèeskı;24;Daniš Ladislav;43;45;DEU;;
32;Støedoèeskı;25;Veselı Karel;54;102;DEU;;
32;Støedoèeskı;26;Šašková Zdeòka;73;67;DEU;;
32;Støedoèeskı;27;Resl Miroslav;38;70;DEU;;
32;Støedoèeskı;28;Šimáèek Antonín;58;36;DEU;;
32;Støedoèeskı;29;Dvoøák Josef;55;71;DEU;;
32;Støedoèeskı;30;Parsch Vladimír;47;82;DEU;;
32;Støedoèeskı;31;Posselt Arno;52;57;DEU;;
33;Jihoèeskı;1;Marxt Jan;61;326;DEU;;
33;Jihoèeskı;2;Kopta Jindøich;42;263;DEU;;
33;Jihoèeskı;3;Holeèek Josef;44;478;DEU;;
33;Jihoèeskı;4;Novotná Jana;42;315;DEU;;
33;Jihoèeskı;5;Halama Vladimír;59;258;DEU;;
33;Jihoèeskı;6;Vašta Jan;59;342;DEU;;
33;Jihoèeskı;7;Kozák Pavel;53;328;DEU;;
33;Jihoèeskı;8;Skotnica Vladimír;33;317;DEU;;
33;Jihoèeskı;9;Bernot Ondøej;44;195;DEU;;
33;Jihoèeskı;10;Hájek Jiøí;59;154;DEU;;
33;Jihoèeskı;11;Kuneš Štìpán;56;265;DEU;;
33;Jihoèeskı;12;Fabeš Ludvík;52;284;DEU;;
33;Jihoèeskı;13;Novotnı Josef;57;229;DEU;;
33;Jihoèeskı;14;Šimková Zdeòka;48;170;DEU;;
33;Jihoèeskı;15;Slabı Josef;33;187;DEU;;
33;Jihoèeskı;16;Zelenková Eugenie;36;225;DEU;;
33;Jihoèeskı;17;Krejbich Miloslav;41;211;DEU;;
33;Jihoèeskı;18;Pekárková Blaena;46;301;DEU;;
33;Jihoèeskı;19;Èervák Patrik;30;96;DEU;;
33;Jihoèeskı;20;Puèejdl Bohumil;55;49;DEU;;
34;Západoèeskı;1;Majzlík Ratibor;50;590;DEU;;
34;Západoèeskı;2;Lukáš Oldøich;42;789;DEU;;
34;Západoèeskı;3;Klinkovská Alena;52;324;DEU;;
34;Západoèeskı;4;Fikrle Miroslav;37;397;DEU;;
34;Západoèeskı;5;Hák Vratislav;39;289;DEU;;
34;Západoèeskı;6;Chlup Pavel;51;136;DEU;;
34;Západoèeskı;7;Randák Karel;47;207;DEU;;
34;Západoèeskı;8;Bambas Miroslav;49;153;DEU;;
34;Západoèeskı;9;Koranda Ivan;54;475;DEU;;
34;Západoèeskı;10;Boèková Marie;49;347;DEU;;
34;Západoèeskı;11;Kreysová Milada;25;303;DEU;;
34;Západoèeskı;12;Vítek Jiøí;56;76;DEU;;
34;Západoèeskı;13;Kielbus Zdenìk;43;91;DEU;;
34;Západoèeskı;14;Schejbal Karel;53;97;DEU;;
34;Západoèeskı;15;Mosinger Josef;75;86;DEU;;
34;Západoèeskı;16;Stehlíková Jana;44;394;DEU;;
34;Západoèeskı;17;Regnerová Marie;53;69;DEU;;
34;Západoèeskı;18;Dolanskı Petr;28;285;DEU;;
34;Západoèeskı;19;Sartorius Ivo;56;60;DEU;;
34;Západoèeskı;20;Bambulová Jiøina;64;47;DEU;;
34;Západoèeskı;21;Stehlík Jan;39;84;DEU;;
34;Západoèeskı;22;Vávra Jaroslav;27;95;DEU;;
34;Západoèeskı;23;Kašpar František;56;43;DEU;;
34;Západoèeskı;24;Tausch Josef;67;29;DEU;;
34;Západoèeskı;25;Jursíková Irena;46;45;DEU;;
35;Severoèeskı;1;Hromas Josef;53;504;DEU;;
35;Severoèeskı;2;Kudláèek Miroslav;39;569;DEU;;
35;Severoèeskı;3;Marková Jitka;48;442;DEU;;
35;Severoèeskı;4;Bernkopf Tomáš;37;679;DEU;;
35;Severoèeskı;5;Vìøíš Ladislav;54;226;DEU;;
35;Severoèeskı;6;Novák Vítìzslav;49;363;DEU;;
35;Severoèeskı;7;Burda Jan;64;411;DEU;;
35;Severoèeskı;8;Zaklová Karla;40;738;DEU;;
35;Severoèeskı;9;Marek Josef;49;173;DEU;;
35;Severoèeskı;10;Filip Eduard;54;201;DEU;;
35;Severoèeskı;11;Beèková Marie;38;244;DEU;;
35;Severoèeskı;12;Frydrych Jan;53;427;DEU;;
35;Severoèeskı;13;Hejtmánek Josef;71;97;DEU;;
35;Severoèeskı;14;Tschammerhöhl Milan;35;211;DEU;;
35;Severoèeskı;15;Dorant Jan;48;162;DEU;;
35;Severoèeskı;16;Šulcová Olga;49;283;DEU;;
35;Severoèeskı;17;Rosenbaum František;45;142;DEU;;
35;Severoèeskı;18;Hrstka Vladimír;54;188;DEU;;
35;Severoèeskı;19;Brejšek Pavel;41;119;DEU;;
35;Severoèeskı;20;Rektor Milan;48;104;DEU;;
35;Severoèeskı;21;Kny Richard;25;52;DEU;;
35;Severoèeskı;22;Sobíšek Petr;51;81;DEU;;
35;Severoèeskı;23;Petrù Pavel;45;202;DEU;;
35;Severoèeskı;24;Prùcha Oldøich;54;112;DEU;;
35;Severoèeskı;25;Bulínová Marie;50;90;DEU;;
35;Severoèeskı;26;Jankura Bernard;44;301;DEU;;
35;Severoèeskı;27;Skarolková Taána;41;123;DEU;;
35;Severoèeskı;28;Trnka Jiøí;48;123;DEU;;
35;Severoèeskı;29;Myška František;65;108;DEU;;
35;Severoèeskı;30;Novák Zbynìk;62;158;DEU;;
35;Severoèeskı;31;Brabenec Ladislav;69;63;DEU;;
35;Severoèeskı;32;Rokos Pavel;52;39;DEU;;
35;Severoèeskı;33;Kratìna Bedøich;45;65;DEU;;
35;Severoèeskı;34;Kokta Marcell;63;95;DEU;;
35;Severoèeskı;35;Havel Petr;40;125;DEU;;
36;Vıchodoèeskı;1;Heller Jiøí;68;359;DEU;;
36;Vıchodoèeskı;2;Karel Jan;51;549;DEU;;
36;Vıchodoèeskı;3;Pohnerová Marta;56;788;DEU;;
36;Vıchodoèeskı;4;Gajdorus Miloslav;54;470;DEU;;
36;Vıchodoèeskı;5;Slabı Julius;64;237;DEU;;
36;Vıchodoèeskı;6;Matyáš Josef;35;479;DEU;;
36;Vıchodoèeskı;7;Havlíèek Petr;45;302;DEU;;
36;Vıchodoèeskı;8;Jebousek Josef;48;186;DEU;;
36;Vıchodoèeskı;9;Èech Josef;66;167;DEU;;
36;Vıchodoèeskı;10;Kylar Miroslav;56;170;DEU;;
36;Vıchodoèeskı;11;Rensa Pavel;38;365;DEU;;
36;Vıchodoèeskı;12;Smlsal Josef;56;200;DEU;;
36;Vıchodoèeskı;13;Jùzek Jaroslav;51;244;DEU;;
36;Vıchodoèeskı;14;Draan Tomáš;56;210;DEU;;
36;Vıchodoèeskı;15;Strejc Jiøí;64;277;DEU;;
36;Vıchodoèeskı;16;Jièínskı Tomáš;37;378;DEU;;
36;Vıchodoèeskı;17;Sokolíèek Milan;39;292;DEU;;
36;Vıchodoèeskı;18;Šereda Jindøich;55;176;DEU;;
36;Vıchodoèeskı;20;Poulová Jana;55;199;DEU;;
36;Vıchodoèeskı;21;Beránek František;43;118;DEU;;
36;Vıchodoèeskı;22;Kynèlová Vìra;58;77;DEU;;
36;Vıchodoèeskı;23;Scherks Vratislav;63;100;DEU;;
36;Vıchodoèeskı;24;Šamánek Radko;40;228;DEU;;
36;Vıchodoèeskı;25;Pavlíèek Jiøí;51;142;DEU;;
36;Vıchodoèeskı;26;Boèek Jan;51;51;DEU;;
36;Vıchodoèeskı;27;Tomsa Josef;66;83;DEU;;
36;Vıchodoèeskı;28;Tluka Jindøich;38;83;DEU;;
36;Vıchodoèeskı;29;Meduna Miroslav;54;69;DEU;;
36;Vıchodoèeskı;30;Øeháková Jarmila;52;234;DEU;;
36;Vıchodoèeskı;31;Øehounek Roman;34;240;DEU;;
36;Vıchodoèeskı;32;Štìpánek Ladislav;57;34;DEU;;
36;Vıchodoèeskı;33;Horák František;60;39;DEU;;
36;Vıchodoèeskı;34;Koneènı Milan;58;52;DEU;;
36;Vıchodoèeskı;35;Slavík Jaroslav;50;88;DEU;;
37;Jihomoravskı;1;Kvapilíková Kvìta;67;1 044;DEU;;
37;Jihomoravskı;2;Tesaø Zdenìk;55;345;DEU;;
37;Jihomoravskı;3;Drozdová Jitka;55;573;DEU;;
37;Jihomoravskı;4;Volaøík Jiøí;63;403;DEU;;
37;Jihomoravskı;5;Zapletal Ondøej;60;559;DEU;;
37;Jihomoravskı;6;Vlk Vladimír;49;226;DEU;;
37;Jihomoravskı;7;Holz Rudolf;54;159;DEU;;
37;Jihomoravskı;8;Dolealová Kvìtoslava;49;267;DEU;;
37;Jihomoravskı;9;Janèálek Petr;50;157;DEU;;
37;Jihomoravskı;10;Jurèíková Vìra;53;362;DEU;;
37;Jihomoravskı;11;Kuba Pavel;32;94;DEU;;
37;Jihomoravskı;12;Gojniczková Ilona;38;240;DEU;;
37;Jihomoravskı;13;Werner Jan;63;157;DEU;;
37;Jihomoravskı;14;Zemánek Richard;49;239;DEU;;
37;Jihomoravskı;15;Malèík Antonín;58;127;DEU;;
37;Jihomoravskı;16;Burget Miloslav;41;445;DEU;;
37;Jihomoravskı;17;Tomková Milada;62;87;DEU;;
37;Jihomoravskı;18;Adamcová Marie;54;227;DEU;;
37;Jihomoravskı;19;Filipù Dana;51;75;DEU;;
37;Jihomoravskı;20;Špic Emil;42;57;DEU;;
37;Jihomoravskı;21;Lux Rostislav;48;322;DEU;;
37;Jihomoravskı;22;Kypsoò Radek;31;131;DEU;;
37;Jihomoravskı;23;Kaèal Jaroslav;59;24;DEU;;
37;Jihomoravskı;24;Pøibyl Josef;57;91;DEU;;
37;Jihomoravskı;25;Trhlík Pavel;46;95;DEU;;
37;Jihomoravskı;26;Pohanka Ivo;60;155;DEU;;
37;Jihomoravskı;27;Petrel František;51;145;DEU;;
37;Jihomoravskı;28;Dytrych Miroslav;56;32;DEU;;
37;Jihomoravskı;29;Chadima Vladimír;41;47;DEU;;
37;Jihomoravskı;30;Kašpárek Antonín;53;124;DEU;;
37;Jihomoravskı;31;Štìpánek Lev;68;10;DEU;;
37;Jihomoravskı;32;Pøecechtìl Jaromír;50;9;DEU;;
37;Jihomoravskı;33;Janeèek Antonín;52;100;DEU;;
37;Jihomoravskı;34;Vodáková Kristina;71;38;DEU;;
37;Jihomoravskı;35;Velebová Jiøina;38;71;DEU;;
37;Jihomoravskı;36;Hanáková Jitka;46;63;DEU;;
37;Jihomoravskı;37;Stoffer František;67;5;DEU;;
37;Jihomoravskı;38;Šudøichová Ilona;45;52;DEU;;
37;Jihomoravskı;39;Kutáèek Eduard;80;62;DEU;;
37;Jihomoravskı;40;Kopeèek Jaroslav;51;9;DEU;;
37;Jihomoravskı;41;Malíková Drahomíra;54;5;DEU;;
37;Jihomoravskı;42;Puèalík Stanislav;47;44;DEU;;
37;Jihomoravskı;43;Køí Václav;67;17;DEU;;
37;Jihomoravskı;44;Pleskı Vladimír;52;15;DEU;;
37;Jihomoravskı;45;Matulka Miloslav;72;18;DEU;;
37;Jihomoravskı;46;Hochmann Ivan;54;33;DEU;;
37;Jihomoravskı;47;Pospíšil Jaroslav;73;29;DEU;;
37;Jihomoravskı;48;Kilián Oldøich;63;89;DEU;;
37;Jihomoravskı;49;Michálek Petr;59;7;DEU;;
37;Jihomoravskı;50;Hnilièka Jaromír;64;94;DEU;;
37;Jihomoravskı;51;eulka Rostislav;53;9;DEU;;
37;Jihomoravskı;52;Kuriál Pavel;52;8;DEU;;
37;Jihomoravskı;53;Uvarov Oleg;65;10;DEU;;
37;Jihomoravskı;54;Dostál Karel;66;16;DEU;;
37;Jihomoravskı;55;Èumpelík Karel;52;8;DEU;;
37;Jihomoravskı;56;Holíková Radana;54;10;DEU;;
37;Jihomoravskı;57;Šimurdová Michaela;32;57;DEU;;
37;Jihomoravskı;58;Mrázek Kvìtoslav;66;67;DEU;;
37;Jihomoravskı;59;Baïuøíková Rùena;60;41;DEU;;
37;Jihomoravskı;60;Horák Pavel;53;31;DEU;;
38;Severomoravskı;1;Hromádková Alena;53;3 706;DEU;;
38;Severomoravskı;2;Heglas Jan;42;722;DEU;;
38;Severomoravskı;3;Rosenbergrová Eva;49;847;DEU;;
38;Severomoravskı;4;Orság František;47;550;DEU;;
38;Severomoravskı;5;Švéda Josef;43;556;DEU;;
38;Severomoravskı;6;Pospíšil Zdenìk;67;413;DEU;;
38;Severomoravskı;7;Hekele Vladimír;54;284;DEU;;
38;Severomoravskı;8;Paluzga Leoš;22;317;DEU;;
38;Severomoravskı;9;Pešl Ivan;52;380;DEU;;
38;Severomoravskı;10;Mitin Ivan;50;174;DEU;;
38;Severomoravskı;11;Novotnı Jaroslav;60;190;DEU;;
38;Severomoravskı;12;Fajnor Jaroslav;45;180;DEU;;
38;Severomoravskı;13;Laryš Milan;64;113;DEU;;
38;Severomoravskı;14;Švardala Martin;37;268;DEU;;
38;Severomoravskı;15;Unucková Marie;40;249;DEU;;
38;Severomoravskı;16;Singer Josef;64;122;DEU;;
38;Severomoravskı;17;Švrèinová Miloslava;39;171;DEU;;
38;Severomoravskı;18;Mattis Jan;56;111;DEU;;
38;Severomoravskı;19;Harasim Hubert;52;183;DEU;;
38;Severomoravskı;20;Èervek Jaromír;46;135;DEU;;
38;Severomoravskı;21;Šafáø František;49;75;DEU;;
38;Severomoravskı;22;Kachel Ladislav;62;153;DEU;;
38;Severomoravskı;23;Indra Dalibor;42;158;DEU;;
38;Severomoravskı;24;Zatloukal Jiøí;41;133;DEU;;
38;Severomoravskı;25;Kohl Ivo;32;173;DEU;;
38;Severomoravskı;26;Turek Miroslav;54;67;DEU;;
38;Severomoravskı;27;Grohman Jan;49;81;DEU;;
38;Severomoravskı;28;Pulchart Miroslav;41;76;DEU;;
38;Severomoravskı;29;Bezdìk Rudolf;42;87;DEU;;
38;Severomoravskı;30;Punèocháø Jaromír;54;65;DEU;;
38;Severomoravskı;31;Kasperèík Karel;47;53;DEU;;
38;Severomoravskı;32;Velkoborskı Miloš;41;80;DEU;;
38;Severomoravskı;33;Blaek Jan;57;45;DEU;;
38;Severomoravskı;34;Branová Jaruška;64;65;DEU;;
38;Severomoravskı;35;Pospíšil Jindøich;63;48;DEU;;
38;Severomoravskı;36;Aclar Milan;63;53;DEU;;
38;Severomoravskı;37;Smékal Ladislav;72;42;DEU;;
38;Severomoravskı;38;Procházka Pavel;53;29;DEU;;
38;Severomoravskı;39;Zboøil Zdenìk;49;108;DEU;;
38;Severomoravskı;40;Cetkovská Vladimíra;55;116;DEU;;
38;Severomoravskı;41;Ottová Gabriela;77;26;DEU;;
38;Severomoravskı;42;Švardala Pavel;51;92;DEU;;
38;Severomoravskı;43;Strıèek Jan;32;56;DEU;;
38;Severomoravskı;44;Havlenová Eva;56;171;DEU;;
38;Severomoravskı;45;Kocman Vladimír;64;20;DEU;;
38;Severomoravskı;46;Benca Stanislav;57;6;DEU;;
38;Severomoravskı;47;Polášek Petr;39;50;DEU;;
