districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
11;Jihomoravskı;33;Mìchura Vladimír;49;KDU-ÈSL;KDU-ÈSL;113;0,16;0
11;Jihomoravskı;34;König Jan;57;KDU-ÈSL;KDU-ÈSL;155;0,22;0
12;Olomouckı;1;Kvapil Tomáš;50;KDU-ÈSL;KDU-ÈSL;4 298;15,56;0
12;Olomouckı;2;Vykydal Ivo;41;KDU-ÈSL;KDU-ÈSL;3 947;14,29;0
12;Olomouckı;3;Prinz Petr;27;KDU-ÈSL;KDU-ÈSL;1 398;5,06;0
12;Olomouckı;4;Novotná Milena;58;KDU-ÈSL;KDU-ÈSL;616;2,23;0
12;Olomouckı;5;Miklas Jindøich;53;KDU-ÈSL;KDU-ÈSL;1 168;4,23;0
12;Olomouckı;6;Chalánková Jitka;49;KDU-ÈSL;KDU-ÈSL;1 019;3,69;0
12;Olomouckı;7;Liberda Josef;47;KDU-ÈSL;KDU-ÈSL;221;0,8;0
12;Olomouckı;8;Kuèerková Dagmar;46;KDU-ÈSL;KDU-ÈSL;218;0,78;0
12;Olomouckı;9;Doubrava Pavel;41;KDU-ÈSL;KDU-ÈSL;333;1,2;0
12;Olomouckı;10;Slavotínek Ivo;30;KDU-ÈSL;KDU-ÈSL;560;2,02;0
12;Olomouckı;11;Fidrmuc Jaroslav;48;KDU-ÈSL;BEZPP;289;1,04;0
12;Olomouckı;12;Lakomı Zdenìk;43;KDU-ÈSL;KDU-ÈSL;224;0,81;0
12;Olomouckı;13;John František;28;KDU-ÈSL;KDU-ÈSL;628;2,27;0
12;Olomouckı;14;Jureèka Marian;25;KDU-ÈSL;KDU-ÈSL;118;0,42;0
12;Olomouckı;15;Kubíèek Jindøich;50;KDU-ÈSL;KDU-ÈSL;116;0,42;0
12;Olomouckı;16;Šustr Jaroslav;58;KDU-ÈSL;KDU-ÈSL;157;0,56;0
12;Olomouckı;17;Otruba Marek;31;KDU-ÈSL;KDU-ÈSL;143;0,51;0
12;Olomouckı;18;Michálková Marie;47;KDU-ÈSL;KDU-ÈSL;184;0,66;0
12;Olomouckı;19;Zítka Lukáš;29;KDU-ÈSL;BEZPP;87;0,31;0
12;Olomouckı;20;Koneènı Petr;38;KDU-ÈSL;KDU-ÈSL;242;0,87;0
12;Olomouckı;21;Elšík Petr;29;KDU-ÈSL;KDU-ÈSL;82;0,29;0
