nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid
2,SOS,80,Marta,Šimèová,,34,adm. pracovníèka,Košice,1
2,SOS,81,Iveta,Stašenková,,41,ekonómka,Košice,1
2,SOS,82,Dušan,Kobe¾a,,43,podnikate¾,Trebišov,1
2,SOS,83,Miroslav,Mitruk,Ing.,34,manaér,Košice,1
2,SOS,84,Ivan,Mikle,Ing.,52,podnikate¾,Košice,1
2,SOS,85,Vladimír,Liško,,41,technik,Košice,1
2,SOS,86,Ján,Zubáè,,57,technik,Košice,1
2,SOS,87,Ildikó,Szegedyová,Ing.,35,podnikate¾ka,Košice,1
2,SOS,88,Jana,Fazekašová,,43,ekonómka,Košice,1
2,SOS,89,Juraj,Poljaèek,,50,technik,Košice,1
2,SOS,90,Alena,Èopová,,40,asistentka,Košice,1
2,SOS,91,Peter,Hurnı,,25,manaér,Stropkov,1
2,SOS,92,Zlatica,Fabová,,48,úradníèka,Košice,1
2,SOS,93,Ladislav,Holub,,60,podnikate¾,Košice,1
2,SOS,94,Milan,Lupták,,52,operátor,Košice,1
2,SOS,95,Eva,Èarnoká,,42,robotníèka,Gelnica,1
2,SOS,96,Boris,Betuš,,48,skladník,Košice,1
3,Misia 21,1,Ivan,Šimko,JUDr. Ing.,51,poslanec NR SR,Bratislava,1
3,Misia 21,2,Eva,Bombová,PhDr.,64,tajomníèka biskupského úradu,Košice,1
3,Misia 21,3,Ján,Kubiš,,40,podnikate¾,Zvolen,1
3,Misia 21,4,Emil,Komárik,doc. PhDr. CSc.,66,vysokoškolskı uèite¾ UK,Bratislava,1
3,Misia 21,5,Anna,Šabová,Ing.,31,vodohospodárka,Králiky,1
3,Misia 21,6,Jozef,Vicen,,84,predseda Zväzu protikomunistického odboja,Bratislava,1
3,Misia 21,7,Terézia,Petiová,Mgr.,54,1. podpredsedníèka Únie nevidiacich,Košice,1
3,Misia 21,8,Michal,Ambroviè,Mgr.,30,ivnostník,Bratislava,1
3,Misia 21,9,Lucia,Faltinová,Mgr.,36,vysokoškolská pedagogièka,Bratislava,1
3,Misia 21,10,Allan,Böhm,JUDr.,44,právnik,Bratislava,1
3,Misia 21,11,Alojz,Èernı,Ing.,64,ekonóm - dôchodca,Zvolen,1
3,Misia 21,12,Michal,Hrebík,,21,študent,Nitra,1
3,Misia 21,13,Mária,Fekiaèová,,50,manaérka,Detva,1
3,Misia 21,14,Ivan,Ilkoviè,Ing.,68,ininier chémie,Prešov,1
3,Misia 21,15,Marián,Herdel,Mgr.,30,manaér spoloènosti,Nová Dubnica,1
3,Misia 21,16,Mikuláš,emlièka,,61,ivnostník,Prešov,1
3,Misia 21,17,Katarína,Skubáková,Ing.,51,uèite¾ka,Trnava,1
3,Misia 21,18,Ondrej,Kerekréty,Ing.,52,vedúci kancelárie Rady Cirkvi bratskej,Levice,1
3,Misia 21,19,Marián,Hrebeòár,Ing.,51,podnikate¾,Bratislava,1
3,Misia 21,20,Miloš,Pálenkáš,Mgr.,36,ivnostník,Nová Baòa,1
3,Misia 21,21,Martin,Mucha,Mgr.,38,pedagóg,Bratislava,1
3,Misia 21,22,Branislav,E¾ko,,31,podnikate¾,Michalovce,1
3,Misia 21,23,Peter,Dziak,,64,technik,Prešov,1
3,Misia 21,24,Terézia,Oberhauserová,Mgr.,30,právnièka,Pusté Sady,1
3,Misia 21,25,Peter,Novı,,55,invalidnı dôchodca,Šamorín,1
3,Misia 21,26,Peter,Krug,Mgr.,59,vo¾nı novinár,Bratislava,1
3,Misia 21,27,Marek,Kollár,Ing.,25,projektovı manaér,Bratislava,1
3,Misia 21,28,Jaroslav,Jurèo,Ing.,43,manaér,Košice,1
3,Misia 21,29,Drahoslav,Tkáè,,21,podnikate¾,Diviaky nad Nitricou,1
3,Misia 21,30,Marcela,Királyová,,41,referentka,Bardejov,1
3,Misia 21,31,Pavol,Dzurilla,Ing.,51,strojnı ininier,Bratislava,1
3,Misia 21,32,Marianna,Vadíková,,27,nezamestnaná,Hriòová,1
3,Misia 21,33,Anton,Tesár,,57,masér,Vyhne,1
3,Misia 21,34,Dušan,Baník,Mgr.,47,ivnostník právnik,Bratislava,1
3,Misia 21,35,Michal,Tinák,JUDr.,53,riadite¾ nemocnice,Rovinka,1
3,Misia 21,36,René,Krajèoviè,Ing.,40,projektant - elektro,Sládkovièovo,1
3,Misia 21,37,Vladimír,Šimo,,47,invalidnı dôchodca,Bratislava,1
3,Misia 21,38,Ladislav,Kardoš,,51,ivnostník,Bratislava,1
3,Misia 21,39,Ondrej,Studenec,Ing.,44,energetik,Bratislava,1
4,SD¼,1,Ladislav,Kozmon,Ing.,46,daòovı poradca,Bratislava,1
4,SD¼,2,Martin,Halás,Ing.,34,ekonóm,Bratislava,1
4,SD¼,3,Matúš,Langermann,,35,vedúci pracovník,Bratislava,1
4,SD¼,4,Soòa,Snopková,Ing.,30,ekonóm,Bratislava,1
4,SD¼,5,Martin,Krechòák,JUDr.,31,právnik,Bratislava,1
4,SD¼,6,Boris,Paickı,Ing.,48,súkromnı podnikate¾,Stará Lesná,1
4,SD¼,7,Slavomíra,Mandzáková,Ing.,31,vedúci pracovník,Chorvátsky Grob,1
4,SD¼,8,Radovan,Todorov,,29,zubnı technik,Bratislava,1
4,SD¼,9,Katarína,Èervenáková,,25,študentka,Bratislava,1
4,SD¼,10,Jozef,Bittner,,50,technickı riadite¾,Bratislava,1
4,SD¼,11,Martin,Hriešik,Dipl. Ing.,72,dôchodca,Bratislava,1
4,SD¼,12,Ivana,Matulová,,35,mzdová referentka,Brodské,1
4,SD¼,13,Jozef,Ivanèík,,49,mechanik,Šenkvice,1
4,SD¼,14,Pavel,Hraško,JUDr.,50,súkromnı podnikate¾,Banská Štiavnica,1
4,SD¼,15,Vladimír,Klein,Ing.,55,prokurista,Levice,1
4,SD¼,16,Stanislav,Beòo,Ing.,63,projektant informaènıch systémov,Bratislava,1
4,SD¼,17,Valer,Demjan,Ing.,29,vysokoškolskı pedagóg,Snina,1
4,SD¼,18,Ferdinand,Kolda,,62,dôchodca,Brodské,1
4,SD¼,19,Aida,Malá,RNDr.,43,manaér,Bratislava,1
4,SD¼,20,¼ubomír,Repaskı,MUDr.,55,chirurg,Bratislava,1
4,SD¼,21,Jur,Jeo,Ing.,48,ekonóm,Bratislava,1
4,SD¼,22,Rudolf,Dospiva,,39,manaér,Bratislava,1
