;again;party1;party2;mp;loyal
170;Pokorný Ivan;OH;SD-LSNS;0;0
171;Zlatuška Jiøí;OH;SD-LSNS;0;0
172;Trnka František;OH;SD-LSNS;1;0
173;Siuda Antonín;OH;ÈSSD;0;0
174;Sýkora Milan;OH;SD-LSNS;0;0
175;Hornišer Ivan;OH;SD-LSNS;0;0
176;Šafáø František;OH;DEU;0;0
177;Zaorálek Lubomír;OH;ÈSSD;0;0
178;Krampera Zdenìk;SPR-RSÈ;SPR-RSÈ;0;1
179;Šoler Jiøí;SPR-RSÈ;CAO;1;0
180;Ciplová Marcela;SPR-RSÈ;SPR-RSÈ;0;1
181;Valach Vítìzslav;SPR-RSÈ;ÈMUS;1;0
182;Vik Jan;SPR-RSÈ;SPR-RSÈ;1;1
183;Kašpárek Miroslav;SPR-RSÈ;NEZ;1;0
184;Talášek František;SPR-RSÈ;SPR-RSÈ;0;1
185;Kraus Pavel;KAN;DEU;0;0
186;Pokorná Ivanka;KAN;DEU;0;0
187;Gajdorus Miloslav;KAN;DEU;0;0
188;Orság František;KAN;DEU;0;0
189;Pavelka Jiøí;KAN;ODS;0;0
190;Zboøil Zdenìk;KAN;DEU;0;0
191;Stiborová Marie;LB (KSÈM);LB;1;0
192;Exner Václav;LB (KSÈM);KSÈM;1;0
193;Vorlíèek Zdenìk;LB (KSÈM);LB;1;0
194;Papež Václav;LB (KSÈM);SÈK;0;0
195;Jùn Jiøí;LB (KSÈM);KSÈM;0;0
196;Vìrteláø Václav;LB (KSÈM);KSÈM;0;0
197;Franzlová Olga;LB (KSÈM);LB;0;0
198;Dolejš Jiøí;LB (KSÈM);KSÈM;0;0
199;Èapka Cyril;LB (KSÈM);KSÈM;0;0
200;Silber Radomír;LB (KSÈM);KSÈM;0;0
201;Zeman Jan;LB (KSÈM);KSÈM;0;0
202;Ortman Jaroslav;LB (KSÈM);LB;1;0
203;Frank Václav;LB (KSÈM);KSÈM;1;0
204;Grospiè Stanislav;LB (KSÈM);KSÈM;0;0
205;Duras Jaroslav;LB (KSÈM);LB;0;0
206;Jirák Jaroslav;LB (KSÈM);KSÈM;0;0
207;Skála Karel;LB (KSÈM);KSÈM;0;0
208;Bumbová Stanislava;LB (KSÈM);LB;1;0
209;Pacourková Vlasta;LB (KSÈM);SDL;0;0
210;Klíma Josef;LB (KSÈM);SDL;0;0
211;Ryzka Jiøí;LB (KSÈM);SDL;0;0
212;Hrbková Olga;LB (KSÈM);KSÈM;0;0
213;Maryt Jiøí;LB (KSÈM);LB;1;0
214;Lagová Hana;LB (KSÈM);LB;1;0
215;Váchalová Anna;LB (KSÈM);LB;1;0
216;Podlipský František;LB (KSÈM);KSÈM;0;0
217;Václav Josef;LB (KSÈM);KSÈM;0;0
218;Èelišová Kvìtoslava;LB (KSÈM);KSÈM;1;0
219;Èapek Miroslav;LB (KSÈM);LB;1;0
220;Chudoba Martin;LB (KSÈM);LB;1;0
221;Žižka Jaroslav;LB (KSÈM);LB;1;0
222;Brynychová Ludmila;LB (KSÈM);KSÈM;1;0
223;Maixner František;LB (KSÈM);KSÈM;0;0
224;Machaò Oldøich;LB (KSÈM);SDL;0;0
225;Majerèín Josef;LB (KSÈM);KSÈM;0;0
226;Horník Jindøich;LB (KSÈM);LB;0;0
227;Burger Michal;LB (KSÈM);KSÈM;0;0
228;Šínová Dana;LB (KSÈM);SDL;0;0
229;Bernášek Jindøich;LB (KSÈM);SÈK;0;0
230;Kysela Jan;LB (KSÈM);SÈK;0;0
231;Štrait Jaroslav;LB (KSÈM);KSÈM;1;0
232;Mandík Josef;LB (KSÈM);KSÈM;1;0
233;Svobodová Alena;LB (KSÈM);KSÈM;0;0
234;Kutílek Jan;LB (KSÈM);LB;0;0
235;Zelinka Libor;LB (KSÈM);LB;0;0
236;Snopek Václav;LB (KSÈM);KSÈM;0;0
237;Hrazdíra Antonín;LB (KSÈM);LB;0;0
238;Èundrle Václav;LB (KSÈM);LB;1;0
239;Èechák Vojtìch;LB (KSÈM);LB;1;0
240;Matulka Dalibor;LB (KSÈM);KSÈM;1;0
241;Navrátil Jan;LB (KSÈM);KSÈM;1;0
242;Kováèik Pavel;LB (KSÈM);KSÈM;0;0
243;Strušková Marta;LB (KSÈM);KSÈM;0;0
244;Boháèková Ludmila;LB (KSÈM);KSÈM;0;0
245;Levák Leopold;LB (KSÈM);KSÈM;0;0
246;Hanák Pavel;LB (KSÈM);LB;0;0
247;Šaur Vladimír;LB (KSÈM);KSÈM;0;0
248;Býèek Ladislav;LB (KSÈM);KSÈM;0;0
249;Švec Jiøí;LB (KSÈM);KSÈM;0;0
250;Videcký Jaroslav;LB (KSÈM);SDL;0;0
251;Kleibl Jiøí;LB (KSÈM);KSÈM;0;0
252;Machalík Jiøí;LB (KSÈM);LB;1;0
253;Soural Jaroslav;LB (KSÈM);LB;1;0
254;Palas Jaroslav;LB (KSÈM);ÈSSD;1;0
255;Kluèka Václav;LB (KSÈM);LB;1;0
256;Kuchaø Vlastislav;LB (KSÈM);LB;1;0
257;Škodová Vilemína;LB (KSÈM);KSÈM;0;0
258;Hanzelková Helena;LB (KSÈM);LB;0;0
259;Rumpíková Eva;LB (KSÈM);LB;0;0
260;Suchý František;LB (KSÈM);SDL;0;0
261;Laga Petr;LB (KSÈM);KSÈM;0;0
262;Petráš Antonín;LB (KSÈM);KSÈM;0;0
263;Krušina Jaroslav;LB (KSÈM);KSÈM;0;0
264;Cardová Jaroslava;LB (KSÈM);KSÈM;0;0
