;again;party1;party2;mp;loyal
121;Recman Svatomír;KSÈM;KSÈM;0;1
122;Hanusová Jitka;KSÈM;KSÈM;0;1
123;Hyvnar Radim;KSÈM;KSÈM;0;1
124;Kupka Vlastimil;KSÈM;KSÈM;0;1
125;Luzar Leo;KSÈM;KSÈM;0;1
126;Heczko Eduard;KSÈM;KSÈM;0;1
127;Dener Tomáš;KSÈM;KSÈM;0;1
128;árskı Ivan;KSÈM;KSÈM;0;1
129;Michálková Ivana;KSÈM;KSÈM;0;1
130;Srb Václav;KÈ;KÈ;0;1
131;Rathuská Svìtlana;KÈ;KÈ;0;1
132;Zıková Dana;KÈ;KÈ;0;1
133;Pejøimovskı Josef;KÈ;KÈ;0;1
134;Drvota Jaromír;KÈ;KÈ;0;1
135;Štogrová Jarmila;KÈ;KÈ;0;1
136;Mácha Slavomír;KÈ;KÈ;0;1
137;Èadil Matìj;KÈ;KÈ;0;1
138;Smolík Petr;KÈ;KÈ;0;1
139;Kodeda Oldøich;KÈ;KÈ;0;1
140;Drnek Jan;KÈ;KÈ;0;1
141;Drábeèek Karel;KÈ;KÈ;0;1
142;Smolík Stanislav;KÈ;KÈ;0;1
143;Vondrovskı Václav;KÈ;KÈ;0;1
144;Štorek Zdenìk;KÈ;KÈ;0;1
145;Veleckı Luboš;KÈ;KÈ;0;1
146;Èíek Jiøí;KÈ;KÈ;0;1
147;Janás Antonín;KÈ;KÈ;0;1
148;Mrkvová Ludmila;KÈ;KÈ;0;1
149;Koneèná Eva;KÈ;KÈ;0;1
150;Formánek Dušan;KÈ;KÈ;0;1
151;Velecká Pavla;KÈ;KÈ;0;1
152;Horinka Pavel;KÈ;KÈ;0;1
153;Andrš Pavel;KÈ;KÈ;0;1
154;Makovı Pavel;KÈ;KÈ;0;1
155;Krchòáková Jitka;KÈ;KÈ;0;1
156;Jirotka Ivo;KÈ;KÈ;0;1
157;Svoboda Miroslav;ÈSSD;ÈSSD;1;1
158;Koskuba Jiøí;ÈSSD;ÈSSD;1;1
159;Šplíchal Karel;ÈSSD;ÈSSD;0;1
160;Mandovcová Kateøina;ÈSSD;ÈSSD;0;1
161;Beòák David;ÈSSD;ÈSSD;0;1
162;Matonoha Drahoslav;ÈSSD;ÈSSD;0;1
163;Vaicová Marie;ÈSSD;ÈSSD;0;1
164;Hamáèek Jan;ÈSSD;ÈSSD;1;1
165;Vandas Jaroslav;ÈSSD;ÈSSD;1;1
166;Zemek Václav;ÈSSD;ÈSSD;1;1
167;Sunkovskı Petr;ÈSSD;ÈSSD;0;1
168;Koníèek František;ÈSSD;SPOZ;0;0
169;Petrílek Petr;ÈSSD;ÈSSD;0;1
170;Havlíèek Jiøí;ÈSSD;ÈSSD;0;1
171;Králová Irena;ÈSSD;ÈSSD;0;1
172;Taraba Bohumil;ÈSSD;ÈSSD;0;1
173;Seidel Antonín;ÈSSD;ÈSSD;0;1
174;Poláèek Radek;ÈSSD;ÈSSD;0;1
175;Hron Karel;ÈSSD;ÈSSD;0;1
176;Kratochvíle Karel;ÈSSD;ÈSSD;0;1
177;Skláø František;ÈSSD;ÈSSD;0;1
178;Šulc Ivan;ÈSSD;ÈSSD;0;1
179;Glotzová Pavlína;ÈSSD;ÈSSD;0;1
180;Jakubèík Igor;ÈSSD;ÈSSD;1;1
181;Vicari Pavel;ÈSSD;ÈSSD;0;1
182;Fiala Jaroslav;ÈSSD;ÈSSD;0;1
183;Hartmann Vladimír;ÈSSD;ÈSSD;0;1
184;Kaiserová Vlasta;ÈSSD;ÈSSD;0;1
185;Novotnı Josef;ÈSSD;ÈSSD;1;1
186;Bradáè Jaroslav;ÈSSD;SPOZ;0;0
187;Tancoš Josef;ÈSSD;ÈSSD;1;1
188;Benda Petr;ÈSSD;LEV 21;1;0
189;Køtìnová Alena;ÈSSD;ÈSSD;0;1
190;Køeèek Václav;ÈSSD;ÈSSD;1;1
191;Štejnar Radek;ÈSSD;ÈSSD;0;1
192;Knézel Štìpán;ÈSSD;LEV 21;0;0
193;Hájek Jan;ÈSSD;ÈSSD;0;1
194;Šímová Renata;ÈSSD;ÈSSD;0;1
195;Orgoníková Hana;ÈSSD;ÈSSD;1;1
196;Böhnisch Robin;ÈSSD;ÈSSD;1;1
197;Sobìslav Vladimír;ÈSSD;ÈSSD;0;1
198;Tøešòáková Jana;ÈSSD;ÈSSD;0;1
199;Šolc Jaroslav;ÈSSD;ÈSSD;0;1
200;Tomková Ivana;ÈSSD;ÈSSD;0;1
201;Šlaj Jan;ÈSSD;ÈSSD;0;1
202;Váòa Miroslav;ÈSSD;ÈSSD;1;1
203;Zelenková Ladislava;ÈSSD;ÈSSD;0;1
204;Dostálová Jitka;ÈSSD;ÈSSD;0;1
205;Havíø Pavel;ÈSSD;ÈSSD;0;1
206;Nováková Radoslava;ÈSSD;ÈSSD;0;1
207;Chvojka Jan;ÈSSD;ÈSSD;1;1
208;Èernı Karel;ÈSSD;ÈSSD;1;1
209;Zelníèek František;ÈSSD;ÈSSD;0;1
210;Musil Michal;ÈSSD;ÈSSD;0;1
211;Doleal Jaroslav;ÈSSD;ÈSSD;0;1
212;Ohlídal Ivan;ÈSSD;ÈSSD;1;1
213;Schneider Jan;ÈSSD;ÈSSD;0;1
214;Hašek Michal;ÈSSD;ÈSSD;1;1
215;Brtníèek Miloslav;ÈSSD;ÈSSD;0;1
