;again;party1;party2;order1;order2;loyal;mp
32;Elena Guštafíková;Slovenská národná strana;Slovenská národná strana;17;129;1;0
33;Eva Mališková;Slovenská národná strana;Slovenská národná strana;37;99;1;0
103;Marián Andel;Slovenská národná strana;Slovenská národná strana;1;3;1;1
104;Melánia Kolláriková;Slovenská národná strana;Slovenská národná strana;3;10;1;1
105;Viera Zacharová;Slovenská národná strana;Slovenská národná strana;5;90;1;0
106;Vojtech itòan;Slovenská národná strana;Slovenská národná strana;6;28;1;0
107;Juraj Kamír;Slovenská národná strana;Slovenská národná strana;10;128;1;0
108;Stanislav Lukáè;Slovenská národná strana;Slovenská národná strana;11;41;1;0
109;Ján Kišš;Slovenská národná strana;Slovenská národná strana;25;73;1;0
110;Milan Denko;Slovenská národná strana;Slovenská národná strana;27;137;1;0
111;Vladimír Král;Slovenská národná strana;Slovenská národná strana;32;68;1;0
199;Ján Slota;Slovenská národná strana;Slovenská národná strana;1;1;1;1
200;Jozef Líška;Slovenská národná strana;Slovenská národná strana;5;30;1;0
201;Ján Sitek;Slovenská národná strana;Slovenská národná strana;7;4;1;0
202;Stanislav Mican;Slovenská národná strana;Slovenská národná strana;8;130;1;0
203;Anna Malíková;Slovenská národná strana;Slovenská národná strana;10;2;1;0
204;Pavol ¼upták;Slovenská národná strana;Slovenská národná strana;13;125;1;0
205;Milan Marèan;Slovenská národná strana;Slovenská národná strana;19;54;1;0
206;Ivan Gondáš;Slovenská národná strana;Slovenská národná strana;21;100;1;0
207;Jaroslav Laššák;Slovenská národná strana;Slovenská národná strana;29;132;1;0
208;Ján Bureš;Slovenská národná strana;Slovenská národná strana;39;88;1;0
209;Ivan Eibner;Slovenská národná strana;Slovenská národná strana;43;57;1;0
284;Jozef Leniè;Slovenská národná strana;Slovenská národná strana;11;44;1;0
285;Ladislav Hruška;Slovenská národná strana;Slovenská národná strana;13;16;1;0
316;Ján Havránek;Slovenská národná strana;Slovenská národná strana;4;20;1;0
317;Peter Krivda;Slovenská národná strana;Slovenská národná strana;7;115;1;0
330;Milan Marko;Slovenská národná strana;Slovenská národná strana;8;18;1;0
331;Miroslav Michalec;Slovenská národná strana;Slovenská národná strana;14;22;1;0
332;Igor Malı;Slovenská národná strana;Slovenská národná strana;15;31;1;0
333;Jozef Šedoviè;Slovenská národná strana;Slovenská národná strana;23;29;1;0
334;Jozef Dušan Bezák;Slovenská národná strana;Slovenská národná strana;26;89;1;0
343;Rastislav Šepták;Slovenská národná strana;Slovenská národná strana;3;12;1;1
344;Ivan Šaško;Slovenská národná strana;Slovenská národná strana;16;39;1;0
345;Dušan Švantner;Slovenská národná strana;Slovenská národná strana;25;14;1;0
346;Svetlana Bornayová;Slovenská národná strana;Slovenská národná strana;33;42;1;0
34;Marian Vaan;Sociálna demokracia;Hnutie tretej cesty;4;24;0;0
286;Emil Kuèerák;Sociálna demokracia;Hnutie tretej cesty;1;13;0;0
350;František Lancoš;Sociálna demokracia;Hnutie tretej cesty;3;21;0;0
211;Alena Kuniaková;Sociálna demokracia;Hnutie za demokratické Slovensko;1;99;0;0
288;Jozef Klein;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Hnutie za demokratické Slovensko;3;83;0;1
112;Jaroslav Volf;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;2;20;0;1
113;Anton Juriš;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;3;17;0;1
116;Karol Jurica;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;13;114;0;0
118;Miloš Macho;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;15;77;0;0
127;Jaroslav Riha;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;46;83;0;0
213;Ladislav Ambróš;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;7;28;0;0
217;Jozef Krumpolec;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;19;9;0;0
292;Pavol Mutafov;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;13;72;0;0
296;Dušan Bevilaqua;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;26;68;0;0
300;Pavel Matula;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Slovenská demokratická koalícia;33;93;0;0
35;Viliam Jasaò;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;19;85;0;0
114;Brigita Schmögnerová;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;4;2;0;1
115;Vladimír Faiè;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;11;19;0;0
117;Peter Bohunickı;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;14;21;0;0
119;Ladislav Ballek;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;16;16;0;0
120;Jozef Klemens;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;17;18;0;0
121;Helena Psotová;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;25;64;0;0
122;Emília Bizoòová;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;30;48;0;0
123;Ján Weis;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;37;56;0;0
124;Ján Mravec;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;38;101;0;0
125;Tibor Matuška;Spoloèná vo¾ba - Strana demokratickej ¾avice  Sociálnodemokratická strana Slovenska  Strana zelenıch na Slovensku  Hnutie po¾nohospodárov Slovenskej republiky;Strana demokratickej ¾avice;40;31;0;0
