;X;again;party1;party2;order1;order2;change;minor;loyal;improveParty;improveParty2;improvePosition;origPartyDissolved;year1;minorMajor;minorMinor;majorMajor;majorMinor;switch;new2;switchMiMa;switchMiMi;switchMaMa;switchMaMi;mp
67;67;Vojtech Dolinsk˝;KSS;KSS;14;94;80;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
68;68;V·clav Vacula;KSS;NS;17;51;34;1;0;NA;NA;0;NA;1994;0;1;0;0;1;1;0;1;0;0;0
69;69;Ondrej Pr·gay;KSS;KSS;30;58;28;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
70;70;AugustÌn Jambor;KSU;SNS;1;61;60;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
71;71;Anton Malack˝;KSU;SNS;3;65;62;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
72;72;Emil Kucharovic;KSU;SNS;5;80;75;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
73;73;Frantiöek Kalesn˝;KSU;SLS;8;1;-7;1;0;NA;NA;1;NA;1994;0;1;0;0;1;1;0;1;0;0;0
74;74;Edita TarabË·kov·;KSU;SNS;29;81;52;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
75;75;VladimÌr Kan·s;KSU;SNS;32;47;15;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
76;76;J˙lius Brocka;KDH;SDK;2;21;19;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
77;77;Pavol Hruöovsk˝;KDH;SDK;3;22;19;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
78;78;Gabriel Palacka;KDH;SDK;4;27;23;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
79;79;J·n Bielik;KDH;SDK;5;86;81;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
80;80;Stanislav JanËoviË;KDH;SDK;9;55;46;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
81;81;Jaroslav Ivan;KDH;SDK;11;66;55;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
82;82;VladimÌr Hor·k;KDH;SDK;19;91;72;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
83;83;ätefan Rajec;KDH;SDK;31;150;119;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
84;84;BÈla Bug·r;MK;SMK;1;1;0;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;1
85;85;MiklÛs Duray;MK;SMK;2;2;0;0;0;NA;NA;1;NA;1994;0;0;1;0;1;1;0;0;1;0;1
86;86;P·l Cs·ky;MK;SMK;3;4;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
87;87;¡rp·d Duka-ZÛlyomi;MK;SMK;4;5;1;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
